1263977550	20240919	202409	2024	2024.7096	BUS	INDUSTRY						BUS			MNCUSA	WELLS FARGO	USA					MNC			1	070	070	07	2	7.0	10	1	10	-0.15898251192368	4	Blackrock, Nova Scotia, Canada	CA	CA07	12626	45.3167	-60.95	-561321	4	Blackrock, Nova Scotia, Canada	CA	CA07	12626	45.3167	-60.95	-561321	4	Blackrock, Nova Scotia, Canada	CA	CA07	12626	45.3167	-60.95	-561321	20250919024500	https://itbrief.co.nz/story/banks-accelerate-shift-from-ai-research-to-practical-deployment
1263977561	20240919	202409	2024	2024.7096	PRK	NORTH KOREA	PRK								SYR	SYRIA	SYR								1	052	052	05	1	3.5	3	1	3	-6.77466863033874	1	North Korea	KN	KN		40	127	KN	1	Syria	SY	SY		35	38	SY	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250919024500	https://kyma.com/news/2025/09/18/us-victims-of-october-7-attacks-file-a-new-lawsuit-against-hamas-syria-iran-and-north-korea/
1263977562	20240919	202409	2024	2024.7096	PRK	NORTH KOREA	PRK								SYR	SYRIA	SYR								1	052	052	05	1	3.5	1	1	1	-6.77466863033874	1	Syria	SY	SY		35	38	SY	1	Iran	IR	IR		32	53	IR	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250919024500	https://kyma.com/news/2025/09/18/us-victims-of-october-7-attacks-file-a-new-lawsuit-against-hamas-syria-iran-and-north-korea/
1263977563	20250820	202508	2025	2025.6301	MED	MEDIA						MED			JUD	JUDGE						JUD			1	114	114	11	3	-2.0	10	1	10	-7.85123966942148	0								0								0								20250919024500	https://www.fox10tv.com/2025/09/18/no-plea-deal-mobile-woman-accused-dog-river-bridge-animal-abuse-case/
1263977564	20250912	202509	2025	2025.6904	GOV	PRIME MINISTER						GOV			USAGOV	NEW YORK CITY	USA					GOV			1	040	040	04	1	1.0	8	1	8	-4.91803278688524	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250919024500	https://www.israelnationalnews.com/news/415185
1263977565	20250912	202509	2025	2025.6904	ISRGOV	ISRAEL	ISR					GOV			USA	UNITED STATES	USA								0	036	036	03	1	4.0	2	1	2	-4.91803278688524	1	Israel	IS	IS		31.5	34.75	IS	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Israel	IS	IS		31.5	34.75	IS	20250919024500	https://www.israelnationalnews.com/news/415185
1263977566	20250912	202509	2025	2025.6904	USA	UNITED STATES	USA								GOV	PRESIDENT						GOV			0	036	036	03	1	4.0	2	1	2	-4.91803278688524	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250919024500	https://www.israelnationalnews.com/news/415185
1263977567	20250912	202509	2025	2025.6904	USA	UNITED STATES	USA								ISRGOV	ISRAEL	ISR					GOV			0	036	036	03	1	4.0	2	1	2	-4.91803278688524	2	New York, United States	US	USNY		42.1497	-74.9384	NY	1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20250919024500	https://www.israelnationalnews.com/news/415185
1263977568	20250912	202509	2025	2025.6904	USA	NEW YORK	USA								UKR	UKRAINIAN	UKR								0	043	043	04	1	2.8	2	1	2	-1.98170731707317	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20250919024500	https://www.firstpost.com/world/starmer-listening-trump-says-putin-let-me-down-but-teases-good-news-related-to-ukraine-war-13934986.html
1263977569	20250912	202509	2025	2025.6904	USAGOV	THE US	USA					GOV			GBR	UNITED KINGDOM	GBR								0	111	111	11	3	-2.0	6	1	6	0	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250919024500	https://www.thenews.com.pk/latest/1344740-trump-safe-after-marine-one-emergency-landing-in-luton
1263977570	20250912	202509	2025	2025.6904	USAGOV	THE US	USA					GOV			GBR	UNITED KINGDOM	GBR								0	111	111	11	3	-2.0	4	1	4	0	1	Ukraine	UP	UP		49	32	UP	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250919024500	https://www.thenews.com.pk/latest/1344740-trump-safe-after-marine-one-emergency-landing-in-luton
1263977571	20250912	202509	2025	2025.6904	USAGOV	NEW YORK CITY	USA					GOV			GOV	PRIME MINISTER						GOV			1	040	040	04	1	1.0	8	1	8	-4.91803278688524	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250919024500	https://www.israelnationalnews.com/news/415185
1263977572	20250912	202509	2025	2025.6904	USAGOV	NEW YORK CITY	USA					GOV			USA	NEW YORK	USA								1	035	035	03	1	7.0	10	1	10	-4.91803278688524	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250919024500	https://www.israelnationalnews.com/news/415185
1263977573	20250912	202509	2025	2025.6904	USAGOV	UNITED STATES	USA					GOV			USAGOV	UNITED STATES	USA					GOV			1	040	040	04	1	1.0	4	1	2	-4.91803278688524	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250919024500	https://www.israelnationalnews.com/news/415185
1263977574	20250919	202509	2025	2025.7096											AFR	AFRICA	AFR								1	100	100	10	3	-5.0	10	1	10	7.57575757575757	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20250919024500	https://guardian.ng/business-services/sterling-names-beneficiaries-of-n2-billion-scholarship/
1263977575	20250919	202509	2025	2025.7096											AUS	AUSTRALIA	AUS								1	036	036	03	1	4.0	30	3	30	2.58770941659989	0								4	Garvoc, Victoria, Australia	AS	AS07	5407	-38.3	142.833	-1574631	4	Garvoc, Victoria, Australia	AS	AS07	5407	-38.3	142.833	-1574631	20250919024500	https://www.westernadvocate.com.au/story/9070230/how-agriculture-will-be-key-to-australias-net-zero-future-plan/
1263977576	20250919	202509	2025	2025.7096											BUS	COMPANIES						BUS			0	050	050	05	1	3.5	5	1	5	0.63492063492064	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20250919024500	https://www.heraldstandard.com/community_life/2025/sep/18/new-survey-shows-rural-pennsylvanians-face-lack-of-mental-health-care/
1263977577	20250919	202509	2025	2025.7096											BUS	BUSINESS						BUS			1	051	051	05	1	3.4	5	1	5	5.85585585585586	0								4	Suva, Central, Fiji	FJ	FJ01	40197	-18.1333	178.417	-1195133	4	Suva, Central, Fiji	FJ	FJ01	40197	-18.1333	178.417	-1195133	20250919024500	https://www.fijivillage.com/news/Successful-conclusion-of-MSME-training-program-marked-in-Suva-f85r4x/
1263977578	20250919	202509	2025	2025.7096											BUS	BUSINESS						BUS			1	100	100	10	3	-5.0	5	1	5	5.85585585585586	0								4	Suva, Central, Fiji	FJ	FJ01	40197	-18.1333	178.417	-1195133	4	Suva, Central, Fiji	FJ	FJ01	40197	-18.1333	178.417	-1195133	20250919024500	https://www.fijivillage.com/news/Successful-conclusion-of-MSME-training-program-marked-in-Suva-f85r4x/
1263977579	20250919	202509	2025	2025.7096											BUS	EMPLOYER						BUS			1	110	110	11	3	-2.0	10	2	10	3.06603773584905	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20250919024500	https://cajunradio.com/ixp/182/p/louisiana-medical-marijuana-guide/
1263977580	20250919	202509	2025	2025.7096											BUS	BOSS						BUS			1	112	112	11	3	-2.0	10	1	10	-3.30882352941176	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20250919024500	https://timesofindia.indiatimes.com/tv/news/hindi/exclusive-bigg-boss-19-nagma-mirajkar-reacts-to-amaal-mallik-and-baseer-ali-accusing-bf-awez-darbar-of-cheating-on-her-says-it-was-very-shallow-of-them/articleshow/123987798.cms
1263977581	20250919	202509	2025	2025.7096											BUS	EMPLOYER						BUS			1	130	130	13	3	-4.4	10	2	10	3.06603773584905	0								2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	2	Louisiana, United States	US	USLA		31.1801	-91.8749	LA	20250919024500	https://cajunradio.com/ixp/182/p/louisiana-medical-marijuana-guide/
1263977582	20250919	202509	2025	2025.7096											BUS	CREDIT UNION						BUS			1	190	190	19	4	-10.0	10	1	10	-6	0								2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250919024500	https://www.hometownstations.com/news/allen_county/driver-crashes-into-tree-at-superior-credit-union-causes-minor-damage/article_d3f011be-18e2-4259-b132-db582654d9cd.html
1263977583	20250919	202509	2025	2025.7096											CAN	CANADIAN	CAN								1	042	042	04	1	1.9	1	1	1	1.26811594202899	0								4	Mexico City, Distrito Federal, Mexico	MX	MX09	20887	19.4342	-99.1386	-1658079	4	Mexico City, Distrito Federal, Mexico	MX	MX09	20887	19.4342	-99.1386	-1658079	20250919024500	https://www.thehindu.com/news/international/canada-mexico-vow-closer-ties-ahead-of-trade-pact-review-with-us/article70068469.ece
1263977584	20250919	202509	2025	2025.7096											CAN	CANADIAN	CAN								1	042	042	04	1	1.9	1	1	1	1.26811594202899	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250919024500	https://www.thehindu.com/news/international/canada-mexico-vow-closer-ties-ahead-of-trade-pact-review-with-us/article70068469.ece
1263977585	20250919	202509	2025	2025.7096											CAN	CANADA	CAN								0	051	051	05	1	3.4	1	1	1	0.91346153846154	0								4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	4	Brockville, Ontario, Canada	CA	CA08	30554	44.5833	-75.6833	-561684	20250919024500	https://www.thewhig.com:443/news/st-lawrence-college-students-join-staff-picket-lines/wcm/cf49d77b-ce74-4595-bc57-8103af94f3df
1263977586	20250919	202509	2025	2025.7096											CAN	CANADA	CAN								1	166	166	16	4	-7.0	2	1	2	-0.64516129032258	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20250919024500	https://theequity.ca/print-edition/september-17-1975/
1263977587	20250919	202509	2025	2025.7096											CAN	CANADA	CAN								1	166	166	16	4	-7.0	2	1	2	-0.64516129032258	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	4	Quyon, Quebec, Canada	CA	CA10	12778	45.5167	-76.2333	-571901	20250919024500	https://theequity.ca/print-edition/september-17-1975/
1263977588	20250919	202509	2025	2025.7096											CAN	VANCOUVER	CAN								1	190	190	19	4	-10.0	3	1	3	-4.83558994197292	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250919024500	https://www.kptv.com/2025/09/19/driver-appears-court-family-grieves-vancouver-man-killed-hopes-childs-recovery/
1263977589	20250919	202509	2025	2025.7096											CHN	CHINA	CHN								1	036	036	03	1	4.0	4	1	4	4.28921568627451	0								2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250919024500	https://highlandcountypress.com/headlines/oneohio-recovery-foundation-board-celebrates-national-recovery-month-announces-timeline
1263977590	20250919	202509	2025	2025.7096											CHR	CHRISTIAN				CHR					1	040	040	04	1	1.0	6	1	6	-3.1465093411996	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250919024500	https://www.dailymail.co.uk/news/article-15112481/texas-ken-paxton-taxpayer-funds-mistress-trips-john-cornyn.html
1263977591	20250919	202509	2025	2025.7096											COP	POLICE						COP			0	020	020	02	1	3.0	10	1	10	-3.90243902439025	0								2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20250919024500	https://www.whas11.com/article/news/local/could-kentucky-supreme-court-decision-on-no-knock-warrant-bans-affect-louisville-attorney-says-absolutely/417-2707920d-6ed4-4136-9394-67d995cbb179
1263977592	20250919	202509	2025	2025.7096											COP	DETECTIVE						COP			1	190	190	19	4	-10.0	3	1	3	-6.66666666666666	0								3	York County, Pennsylvania, United States	US	USPA		40.1254	-77	1209193	3	York County, Pennsylvania, United States	US	USPA		40.1254	-77	1209193	20250919024500	https://www.wfmz.com/news/area/pennsylvania/community-grieves-after-3-york-county-detectives-killed-vigils-honor-the-fallen/article_946d2cea-905f-4221-92ba-0e11c0c654c7.html
1263977593	20250919	202509	2025	2025.7096											COP	DETECTIVE						COP			1	190	190	19	4	-10.0	15	1	10	-5.83554376657825	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://www.wfmz.com/news/area/pennsylvania/authorities-id-3-police-officers-killed-in-york-county-shooting/article_5e2a14e7-3f2d-49a2-97ab-40d95d84a69c.html
1263977594	20250919	202509	2025	2025.7096											CVL	RESIDENTS						CVL			1	014	014	01	1	0.0	3	1	3	-2.56983240223463	0								5	Otago, Otago, New Zealand	NZ	NZF7	22391	-45.25	169.5	11483306	5	Otago, Otago, New Zealand	NZ	NZF7	22391	-45.25	169.5	11483306	20250919024500	https://www.nzherald.co.nz/the-country/news/move-by-rapacious-gentailer-to-dip-further-into-lake-hawea-outrages-residents/SDL7XHFQKRGW7DGJZRAEQ6RK6M/
1263977595	20250919	202509	2025	2025.7096											CVL	POPULATION						CVL			1	051	051	05	1	3.4	10	1	10	-2.66311584553928	0								4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	20250919024500	https://indianexpress.com/article/political-pulse/maratha-quota-fadnavis-govt-catch-22-floodgates-demands-10258572/
1263977596	20250919	202509	2025	2025.7096											EDU	SCHOOL						EDU			1	036	036	03	1	4.0	1	1	1	4.30194805194805	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20250919024500	https://www.forbes.com/sites/jaimecatmull/2025/09/18/the-1m-question-are-schools-preparing-kids-for-an-ai-driven-economy/
1263977597	20250919	202509	2025	2025.7096											EDU	SCHOOL						EDU			1	036	036	03	1	4.0	4	1	4	4.30194805194805	0								1	Kenya	KE	KE		1	38	KE	1	India	IN	IN		20	77	IN	20250919024500	https://www.forbes.com/sites/jaimecatmull/2025/09/18/the-1m-question-are-schools-preparing-kids-for-an-ai-driven-economy/
1263977598	20250919	202509	2025	2025.7096											EDU	SCHOOL						EDU			1	042	042	04	1	1.9	10	1	10	1.53846153846154	0								2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20250919024500	https://kyma.com/news/top-stories/2025/09/18/yuma-high-school-class-of-1980-to-host-45th-reunion-in-november/
1263977599	20250919	202509	2025	2025.7096											EDU	STUDENT						EDU			0	042	042	04	1	1.9	10	1	10	-0.77760497667185	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250919024500	https://timesofindia.indiatimes.com/education/careers/news/ignoring-ai-in-computer-science-could-cost-your-career-openai-executive-warns-students-risk-falling-behind/articleshow/123987562.cms
1263977600	20250919	202509	2025	2025.7096											EDU	STUDENT						EDU			0	080	080	08	2	5.0	5	1	5	-0.77760497667185	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250919024500	https://timesofindia.indiatimes.com/education/careers/news/ignoring-ai-in-computer-science-could-cost-your-career-openai-executive-warns-students-risk-falling-behind/articleshow/123987562.cms
1263977601	20250919	202509	2025	2025.7096											ESP	SPAIN	ESP								1	010	010	01	1	0.0	3	1	3	5.12820512820512	0								4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250919024500	https://www.hola.com/us/fashion/20250919856695/carolina-herrera-madrid-first-major-runway-outside-new-york/
1263977602	20250919	202509	2025	2025.7096											ESP	SPAIN	ESP								1	010	010	01	1	0.0	1	1	1	5.12820512820512	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250919024500	https://www.hola.com/us/fashion/20250919856695/carolina-herrera-madrid-first-major-runway-outside-new-york/
1263977603	20250919	202509	2025	2025.7096											ESP	SPAIN	ESP								1	014	014	01	1	0.0	1	1	1	5.12820512820512	0								4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20250919024500	https://www.hola.com/us/fashion/20250919856695/carolina-herrera-madrid-first-major-runway-outside-new-york/
1263977604	20250919	202509	2025	2025.7096											ESP	SPAIN	ESP								1	014	014	01	1	0.0	1	1	1	5.12820512820512	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250919024500	https://www.hola.com/us/fashion/20250919856695/carolina-herrera-madrid-first-major-runway-outside-new-york/
1263977605	20250919	202509	2025	2025.7096											FRA	FRANCE	FRA								1	036	036	03	1	4.0	3	1	3	2.14592274678112	0								1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20250919024500	https://americansongwriter.com/global-pop-star-turned-down-opportunity-to-perform-in-space/
1263977606	20250919	202509	2025	2025.7096											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	6	1	6	-5.25547445255475	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250919024500	https://www.sbs.com.au/news/article/trumps-new-warning-to-us-broadcasters-amid-mounting-criticism-over-kimmel-suspension/ifnvfceto
1263977607	20250919	202509	2025	2025.7096											GOV	GOVERNMENT						GOV			0	042	042	04	1	1.9	3	1	3	-5.95854922279793	0								4	Denpasar, Bali, Indonesia	ID	ID02	18585	-8.65	115.217	-2676772	4	Denpasar, Bali, Indonesia	ID	ID02	18585	-8.65	115.217	-2676772	20250919024500	https://www.skynews.com.au/australia-news/crime/no-reason-to-forgive-ukrainian-man-roman-nazarenko-sentenced-to-life-in-prison-in-bali-after-major-drug-blunder/news-story/09c90eff36325aed26305c4e54887989?nk=492f6ae3ed22d7632d0bd180dd15ee58-1758249122
1263977608	20250919	202509	2025	2025.7096											GOV	UNDERSECRETARY						GOV			1	046	046	04	1	7.0	5	1	5	3.65296803652968	0								1	Indonesia	ID	ID		-5	120	ID	1	Indonesia	ID	ID		-5	120	ID	20250919024500	https://manilastandard.net/business/314644651/philippines-indonesia-launch-joint-energy-group-to-boost-cooperation.html
1263977609	20250919	202509	2025	2025.7096											GOV	PRIME MINISTER						GOV			0	046	046	04	1	7.0	3	1	3	0	0								1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20250919024500	https://www.thenews.com.pk/latest/1344740-trump-safe-after-marine-one-emergency-landing-in-luton
1263977610	20250919	202509	2025	2025.7096											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	3	1	3	-4.83558994197292	0								4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20250919024500	https://www.kptv.com/2025/09/19/driver-appears-court-family-grieves-vancouver-man-killed-hopes-childs-recovery/
1263977611	20250919	202509	2025	2025.7096											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	2	1	2	-4.83558994197292	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250919024500	https://www.kptv.com/2025/09/19/driver-appears-court-family-grieves-vancouver-man-killed-hopes-childs-recovery/
1263977612	20250919	202509	2025	2025.7096											HLH	HOSPITAL						HLH			0	042	042	04	1	1.9	10	1	10	-4.87804878048781	0								2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20250919024500	https://www.newsx.com/world/29-year-old-telangana-techie-shot-dead-by-us-police-in-california-heres-what-the-cops-said-73846/
1263977613	20250919	202509	2025	2025.7096											HLH	HOSPITAL						HLH			0	080	080	08	2	5.0	3	1	3	-6.66666666666667	0								3	San Luis Obispo County, California, United States	US	USCA		35.3666	-120.534	277304	3	San Luis Obispo County, California, United States	US	USCA		35.3666	-120.534	277304	20250919024500	https://keyt.com/news/san-luis-obispo-county/2025/09/18/ryan-james-johnson-convicted-of-felony-dui-while-on-drugs-and-other-charges-thursday/
1263977614	20250919	202509	2025	2025.7096											HLH	HOSPITAL						HLH			0	080	080	08	2	5.0	3	1	3	-6.66666666666667	0								2	California, United States	US	USCA		36.17	-119.746	CA	3	San Luis Obispo County, California, United States	US	USCA		35.3666	-120.534	277304	20250919024500	https://keyt.com/news/san-luis-obispo-county/2025/09/18/ryan-james-johnson-convicted-of-felony-dui-while-on-drugs-and-other-charges-thursday/
1263977615	20250919	202509	2025	2025.7096											IDN	INDONESIAN	IDN								1	036	036	03	1	4.0	2	1	2	0.893854748603349	0								4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	4	Jakarta, Jakarta Raya, Indonesia	ID	ID04	18585	-6.17444	106.829	-2679652	20250919024500	https://www.thejakartapost.com/opinion/2025/09/19/haj-and-umrah-ministry-caring-for-the-faithful.html
