1269509308	20241019	202410	2024	2024.7918	CHN	CHINA	CHN								PAK	PAKISTAN	PAK								1	045	045	04	1	5.0	10	1	10	1.40845070422535	4	Qingzhou, Guangdong, China	CH	CH30	13041	24.3563	114.803	6026703	4	Qingzhou, Guangdong, China	CH	CH30	13041	24.3563	114.803	6026703	4	Qingzhou, Guangdong, China	CH	CH30	13041	24.3563	114.803	6026703	20251019200000	https://www.globaltimes.cn/page/202510/1346002.shtml
1269509319	20250919	202509	2025	2025.7096	AUS	AUSTRALIA	AUS								GOV	MINIST						GOV			0	062	062	06	2	7.4	6	1	6	0.10288065843621	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	4	Garvoc, Victoria, Australia	AS	AS07	5407	-38.3	142.833	-1574631	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
1269509320	20250919	202509	2025	2025.7096	AUS	AUSTRALIA	AUS								GOV	MINIST						GOV			0	120	120	12	3	-4.0	6	1	6	0.10288065843621	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	4	Garvoc, Victoria, Australia	AS	AS07	5407	-38.3	142.833	-1574631	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
1269509321	20250919	202509	2025	2025.7096	AUSGOV	AUSTRALIA	AUS					GOV			AUS	AUSTRALIA	AUS								0	062	062	06	2	7.4	1	1	1	0.10288065843621	4	Garvoc, Victoria, Australia	AS	AS07	5407	-38.3	142.833	-1574631	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
1269509322	20250919	202509	2025	2025.7096	GOV	MAYOR						GOV													0	120	120	12	3	-4.0	2	1	2	1.05421686746988	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251019200000	https://nypost.com/2025/10/19/us-news/trump-cringes-over-curtis-sliwas-cat-obsession-in-spicy-breakdown-of-nyc-mayoral-race-isnt-exactly-ideal/
1269509323	20250919	202509	2025	2025.7096	GOV	MINIST						GOV			AUS	AUSTRALIA	AUS								0	062	062	06	2	7.4	6	1	6	0.10288065843621	4	Garvoc, Victoria, Australia	AS	AS07	5407	-38.3	142.833	-1574631	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
1269509324	20251012	202510	2025	2025.7726	PHL	MANILA	PHL								KOR	SOUTH KOREAN	KOR								1	173	173	17	4	-5.0	8	1	8	-4.30107526881721	4	Incheon, Inch'on-gwangyoksi, South Korea	KS	KS12	24980	37.4536	126.732	-708814	4	Incheon, Inch'on-gwangyoksi, South Korea	KS	KS12	24980	37.4536	126.732	-708814	4	Incheon, Inch'on-gwangyoksi, South Korea	KS	KS12	24980	37.4536	126.732	-708814	20251019200000	https://www.philstar.com/nation/2025/10/20/2481077/3-korean-fugitives-nabbed
1269509325	20251018	202510	2025	2025.7890											GOV	REGIME						GOV			1	141	141	14	3	-6.5	10	1	10	-5.38116591928251	0								3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	3	Monterey, California, United States	US	USCA	CA053	36.6002	-121.895	1659762	20251019200000	https://freethoughtblogs.com/singham/2025/10/19/massive-protests-against-trump/
1269509326	20251018	202510	2025	2025.7890	NZL	NEW ZEALAND	NZL																		1	010	010	01	1	0.0	6	1	6	-4.76190476190476	4	Riwaka, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.0833	173	-1517404	0								4	Riwaka, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.0833	173	-1517404	20251019200000	https://www.scoop.co.nz/stories/AK2510/S00702/death-following-fire-riwaka.htm
1269509327	20251019	202510	2025	2025.7918											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	2	1	2	-5.74257425742574	0								1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	20251019200000	https://www.yahoo.com/news/articles/flu-cases-surge-early-japan-120000627.html
1269509328	20251019	202510	2025	2025.7918											BUS	COMPANY						BUS			0	020	020	02	1	3.0	10	1	10	1.21951219512195	0								4	Braintree, Essex, United Kingdom	UK	UKE4	40108	51.8833	0.566667	-2590656	4	Braintree, Essex, United Kingdom	UK	UKE4	40108	51.8833	0.566667	-2590656	20251019200000	https://www.braintreeandwithamtimes.co.uk/news/national/uk-today/25554889.can-neighbours-scaffolding-touching-house/
1269509329	20251019	202510	2025	2025.7918											BUS	COMPANY						BUS			0	020	020	02	1	3.0	10	1	10	1.22116689280868	0								4	Chelmsford, Essex, United Kingdom	UK	UKE4	40108	51.7333	0.483333	-2592339	4	Chelmsford, Essex, United Kingdom	UK	UKE4	40108	51.7333	0.483333	-2592339	20251019200000	https://www.chelmsfordweeklynews.co.uk/news/national/uk-today/25554889.can-neighbours-scaffolding-touching-house/
1269509330	20251019	202510	2025	2025.7918											BUS	PRODUCER						BUS			0	040	040	04	1	1.0	6	1	6	-2.45726495726496	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251019200000	https://www.slashfilm.com/1994471/why-steve-burns-left-blues-clues-reason/
1269509331	20251019	202510	2025	2025.7918											BUS	PRODUCER						BUS			1	043	043	04	1	2.8	10	1	10	2.73972602739726	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20251019200000	https://www.thenews.com.pk/latest/1352161-rita-wilson-on-a-mission-to-promote-womens-voices-in-hollywood
1269509332	20251019	202510	2025	2025.7918											BUS	COMPANY						BUS			1	128	128	12	3	-5.0	10	1	10	-3.03514376996805	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251019200000	https://www.nbcnewyork.com/news/national-international/att-settlement-money-deadline-date-how-to-file/6406905/
1269509333	20251019	202510	2025	2025.7918											CAN	CANADA	CAN								0	014	014	01	1	0.0	2	1	2	-1.16666666666667	0								4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	4	Montreal, Quebec, Canada	CA	CA10	12713	45.5	-73.5833	-569541	20251019200000	https://www.winnipegfreepress.com/uncategorized/2025/10/19/quebec-union-warns-omnibus-bill-could-put-public-sector-workers-safety-at-risk
1269509334	20251019	202510	2025	2025.7918											CAN	CANADA	CAN								0	014	014	01	1	0.0	2	1	2	-1.16666666666667	0								4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	20251019200000	https://www.winnipegfreepress.com/uncategorized/2025/10/19/quebec-union-warns-omnibus-bill-could-put-public-sector-workers-safety-at-risk
1269509335	20251019	202510	2025	2025.7918											CANEDU	TORONTO	CAN					EDU			1	040	040	04	1	1.0	3	1	3	-4.41932168550874	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20251019200000	https://www.pharmacytimes.com/view/emerging-biomarkers-open-new-frontiers-in-lung-cancer-therapy
1269509336	20251019	202510	2025	2025.7918											CHN	CHINA	CHN								1	014	014	01	1	0.0	2	1	2	1.51515151515152	0								1	China	CH	CH		35	105	CH	4	Reko Diq, Balochistan, Pakistan	PK	PK02	23614	28.9764	62.4345	6044681	20251019200000	https://thefrontierpost.com/pakistan-says-imf-cannot-impose-conditions-against-national-interest/
1269509337	20251019	202510	2025	2025.7918											CHN	CHINA	CHN								0	040	040	04	1	1.0	3	1	3	4.7576301615799	0								4	Guangming, Jilin, China	CH	CH05	13176	43.5022	129.673	10869730	4	Guangming, Jilin, China	CH	CH05	13176	43.5022	129.673	10869730	20251019200000	https://www.globaltimes.cn/page/202510/1346032.shtml
1269509338	20251019	202510	2025	2025.7918											CHN	CHINA	CHN								0	046	046	04	1	7.0	2	1	2	-3.59066427289048	0								1	China	CH	CH		35	105	CH	1	United Kingdom	UK	UK		54	-4	UK	20251019200000	https://www.dailystar.co.uk/news/latest-news/prince-andrew-scandal-latest--36095003
1269509339	20251019	202510	2025	2025.7918											CHN	CHINA	CHN								1	100	100	10	3	-5.0	4	1	4	4.7576301615799	0								4	Guangming, Jilin, China	CH	CH05	13176	43.5022	129.673	10869730	4	Guangming, Jilin, China	CH	CH05	13176	43.5022	129.673	10869730	20251019200000	https://www.globaltimes.cn/page/202510/1346032.shtml
1269509340	20251019	202510	2025	2025.7918											COP	POLICE						COP			1	080	080	08	2	5.0	9	1	9	-6.64335664335664	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20251019200000	https://www.nbcnewyork.com/news/national-international/11-injured-after-driver-crashes-into-childs-birthday-party-in-maryland/6406942/
1269509341	20251019	202510	2025	2025.7918											COP	POLICE						COP			1	080	080	08	2	5.0	1	1	1	-6.64335664335664	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20251019200000	https://www.nbcnewyork.com/news/national-international/11-injured-after-driver-crashes-into-childs-birthday-party-in-maryland/6406942/
1269509342	20251019	202510	2025	2025.7918											CVL	TOURIST						CVL			0	043	043	04	1	2.8	2	1	2	0.88369441277081	0								3	Atlantic City, Wyoming, United States	US	USWY		42.4966	-108.731	1584989	3	Atlantic City, Wyoming, United States	US	USWY		42.4966	-108.731	1584989	20251019200000	https://cowboystatedaily.com/2025/10/19/drinking-wyoming-the-drinks-at-lander-bar-come-with-a-taste-of-western-history/
1269509343	20251019	202510	2025	2025.7918											CVL	COMMUNITY						CVL			0	080	080	08	2	5.0	5	1	5	0.10288065843621	0								4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	4	Moyne, Victoria, Australia	AS	AS07	5407	-38.3167	142.267	-1589620	20251019200000	https://www.stockandland.com.au/story/9091102/renewable-energy-zones-questioned-as-projects-stray-outside-zones/
1269509344	20251019	202510	2025	2025.7918											CVL	TRAVELER						CVL			0	080	080	08	2	5.0	3	1	3	0.88369441277081	0								3	Atlantic City, Wyoming, United States	US	USWY		42.4966	-108.731	1584989	3	Atlantic City, Wyoming, United States	US	USWY		42.4966	-108.731	1584989	20251019200000	https://cowboystatedaily.com/2025/10/19/drinking-wyoming-the-drinks-at-lander-bar-come-with-a-taste-of-western-history/
1269509345	20251019	202510	2025	2025.7918											CVL	TRAVELER						CVL			0	080	080	08	2	5.0	7	1	7	0.88369441277081	0								2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	2	Wyoming, United States	US	USWY		42.7475	-107.209	WY	20251019200000	https://cowboystatedaily.com/2025/10/19/drinking-wyoming-the-drinks-at-lander-bar-come-with-a-taste-of-western-history/
1269509346	20251019	202510	2025	2025.7918											DEU	GERMANY	DEU								1	084	084	08	2	7.0	4	1	4	1.51515151515151	0								1	Lithuania	LH	LH		56	24	LH	1	Lithuania	LH	LH		56	24	LH	20251019200000	https://clarksvillenow.com/local/101st-airborne-division-soldier-killed-in-training-accident-in-germany/
1269509347	20251019	202510	2025	2025.7918											EDU	COLLEGE						EDU			1	036	036	03	1	4.0	5	1	5	10.2272727272727	0								4	Ganye, Nigeria (general), Nigeria	NI	NI00	191163	8.43333	12.0667	-2007856	4	Ganye, Nigeria (general), Nigeria	NI	NI00	191163	8.43333	12.0667	-2007856	20251019200000	https://dailytrust.com/adamawa-state-college-of-agriculture-gets-%e2%82%a6460-million-boost-for-accreditation/
1269509348	20251019	202510	2025	2025.7918											EDU	STUDENT						EDU			0	043	043	04	1	2.8	3	1	3	-0.46511627906976	0								4	Kalpetta, Kerala, India	IN	IN13	17710	11.6106	76.0822	-2099229	4	Kalpetta, Kerala, India	IN	IN13	17710	11.6106	76.0822	-2099229	20251019200000	https://www.prokerala.com/news/articles/a1687739.html
1269509349	20251019	202510	2025	2025.7918											EDU	STUDENT						EDU			0	043	043	04	1	2.8	2	1	2	-0.46511627906976	0								5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	5	Kerala, Kerala, India	IN	IN13	17699	10	76.5	-2100307	20251019200000	https://www.prokerala.com/news/articles/a1687739.html
1269509350	20251019	202510	2025	2025.7918											EDU	SCHOOL						EDU			0	051	051	05	1	3.4	2	1	2	0.95573440643864	0								3	Kennewick, Washington, United States	US	USWA	WA005	46.2112	-119.137	1512347	3	Kennewick, Washington, United States	US	USWA	WA005	46.2112	-119.137	1512347	20251019200000	https://www.yahoo.com/news/articles/trump-didn-t-deserve-nobel-120000866.html
1269509351	20251019	202510	2025	2025.7918											EDU	SCHOOL						EDU			0	051	051	05	1	3.4	6	1	6	0.95573440643864	0								3	Richland, Indiana, United States	US	USIN	IN139	39.4975	-85.395	441957	3	Richland, Indiana, United States	US	USIN	IN139	39.4975	-85.395	441957	20251019200000	https://www.yahoo.com/news/articles/trump-didn-t-deserve-nobel-120000866.html
1269509352	20251019	202510	2025	2025.7918											GBR	UNITED KINGDOM	GBR								1	020	020	02	1	3.0	4	1	4	-3.24825986078886	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251019200000	https://www.dailystar.co.uk/news/us-news/donald-trump-asked-queen-camilla-36094980
1269509353	20251019	202510	2025	2025.7918											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	8	1	8	2.15982721382289	0								4	St Helens, St. Helens, United Kingdom	UK	UKN1	40121	53.45	-2.73333	-2606861	4	St Helens, St. Helens, United Kingdom	UK	UKN1	40121	53.45	-2.73333	-2606861	20251019200000	https://www.liverpoolecho.co.uk/news/liverpool-news/17-dog-breeds-needed-give-32679493
1269509354	20251019	202510	2025	2025.7918											GBR	LIVERPOOL	GBR								1	043	043	04	1	2.8	6	1	6	3.58851674641149	0								3	Hollyoaks, Maryland, United States	US	USMD	MD041	38.7196	-76.0572	592777	3	Hollyoaks, Maryland, United States	US	USMD	MD041	38.7196	-76.0572	592777	20251019200000	https://www.liverpoolecho.co.uk/news/tv/brookside-jacqui-dixon-stars-life-32698649
1269509355	20251019	202510	2025	2025.7918											GOV	PRESIDENT						GOV			0	040	040	04	1	1.0	6	1	6	-3.12965722801789	0								2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20251019200000	https://www.980waav.com/2025/10/19/santos-to-newsmax-im-truly-repentant-grateful-to-trump/
1269509356	20251019	202510	2025	2025.7918											GOV	KING						GOV			1	042	042	04	1	1.9	2	1	2	0.44843049327354	0								3	Antrim County, Michigan, United States	US	USMI		45.05	-85.1334	1622947	3	Antrim County, Michigan, United States	US	USMI		45.05	-85.1334	1622947	20251019200000	https://upnorthlive.com/news/local/thousands-gather-in-traverse-city-for-no-kings-rally-supporting-unity-and-constitution
1269509357	20251019	202510	2025	2025.7918											GOV	PRIME MINISTER						GOV			1	043	043	04	1	2.8	4	1	4	1.37524557956778	0								5	Balochistan, Balochistan, Pakistan	PK	PK02	40300	28.4785	65.6436	-2755738	5	Balochistan, Balochistan, Pakistan	PK	PK02	40300	28.4785	65.6436	-2755738	20251019200000	https://www.pakistantoday.com.pk/2025/10/19/govt-greenlights-wheat-policy-2025-26-free-inter-provincial-movement-to-ensure-national-supply/
1269509358	20251019	202510	2025	2025.7918											GOV	ADMINISTRATION						GOV			1	141	141	14	3	-6.5	5	1	5	-2.87859824780976	0								3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	3	Cincinnati, Ohio, United States	US	USOH	OH061	39.162	-84.4569	1066650	20251019200000	https://www.miamistudent.net/article/2025/10/no-kings-day-protest-draws-large-turnout-in-oxford
1269509359	20251019	202510	2025	2025.7918											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	0	0								4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	4	Quebec, Quebec, Canada	CA	CA10	12750	47.5	-72	-571850	20251019200000	https://www.winnipegfreepress.com/uncategorized/2025/10/19/53-year-old-woman-dies-after-being-struck-by-a-driver-in-quebec-city
1269509360	20251019	202510	2025	2025.7918											IMGMOSALQ	AL QAEDA		ALQ		MOS		IMG			1	046	046	04	1	7.0	3	1	3	-1.40712945590995	0								4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	4	Jerusalem, Israel (general), Israel	IS	IS00	18315	31.7667	35.2333	-797092	20251019200000	https://www.yahoo.com/news/articles/ihh-turkish-proscribed-terror-group-193533302.html
1269509361	20251019	202510	2025	2025.7918											IMGMOSALQ	AL QAEDA		ALQ		MOS		IMG			1	046	046	04	1	7.0	1	1	1	-1.40712945590995	0								1	Bosnia-Herzegovina	BK	BK		44.25	17.833333	BK	1	Bosnia-Herzegovina	BK	BK		44.25	17.833333	BK	20251019200000	https://www.yahoo.com/news/articles/ihh-turkish-proscribed-terror-group-193533302.html
1269509362	20251019	202510	2025	2025.7918											JUD	FEDERAL JUDGE						JUD			0	020	020	02	1	3.0	2	1	2	-1.99401794616151	0								3	Plymouth Meeting, Pennsylvania, United States	US	USPA		40.1023	-75.2743	1184137	3	Plymouth Meeting, Pennsylvania, United States	US	USPA		40.1023	-75.2743	1184137	20251019200000	https://www.pennlive.com/news/2025/10/judge-blocked-facebook-from-revealing-pa-activists-who-track-ice-on-social-media.html
1269509363	20251019	202510	2025	2025.7918											JUD	BARRISTER						JUD			0	020	020	02	1	3.0	7	1	7	-3.63636363636363	0								4	Bodenstown, Kildare, Ireland	EI	EI12	18291	53.2675	-6.67167	407900	4	Bodenstown, Kildare, Ireland	EI	EI12	18291	53.2675	-6.67167	407900	20251019200000	https://www.irishtimes.com/politics/2025/10/19/micheal-martin-criticises-catherine-connollys-eu-stance/
1269509364	20251019	202510	2025	2025.7918											LAB	TRADE UNION						LAB			1	100	100	10	3	-5.0	6	1	6	0	0								4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20251019200000	https://www.aps.dz:443/en/algeria/national-news/mgxy75vq-takdjout-calls-on-arab-trade-unions-to-continue-mobilization-in-defence-of-just-causes
1269509365	20251019	202510	2025	2025.7918											LBN	TYRE	LBN								1	040	040	04	1	1.0	50	5	50	2.05569813375692	0								0								0								20251019200000	https://www.hardenexpress.com.au/story/9092110/ferrari-sc40-one-off-tribute-to-f40-unveiled/
1269509366	20251019	202510	2025	2025.7918											LEGGOV	CONGRESS						LEG	GOV		0	190	190	19	4	-10.0	10	1	10	-3.08529945553539	0								4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	4	Telangana, Andhra Pradesh, India	IN	IN02	17568	18	79.5	-2112824	20251019200000	https://www.siasat.com/jubilee-hills-bypoll-will-serve-as-a-referendum-on-congress-in-telangana-ktr-3285140/
1269509367	20251019	202510	2025	2025.7918											MIL	COMMANDER						MIL			1	046	046	04	1	7.0	2	1	2	-0.67567567567567	0								1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20251019200000	https://www.president.go.ke/inauguration-of-the-moran-centre-and-official-opening-of-the-formation-commanders-conference/
1269509368	20251019	202510	2025	2025.7918											MIL	ARMY						MIL			1	046	046	04	1	7.0	6	1	6	1.51515151515151	0								1	Lithuania	LH	LH		56	24	LH	1	Lithuania	LH	LH		56	24	LH	20251019200000	https://clarksvillenow.com/local/101st-airborne-division-soldier-killed-in-training-accident-in-germany/
1269509369	20251019	202510	2025	2025.7918											MIL	MILITARY						MIL			0	063	063	06	2	7.4	6	1	6	-5.83333333333334	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251019200000	https://www.ummid.com/news/2025/october/19-10-2025/why-americans-are-protesting.html
1269509370	20251019	202510	2025	2025.7918											MIL	MILITARY						MIL			0	063	063	06	2	7.4	2	1	2	-5.83333333333334	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251019200000	https://www.ummid.com/news/2025/october/19-10-2025/why-americans-are-protesting.html
1269509371	20251019	202510	2025	2025.7918											MIL	MILITARY						MIL			0	063	063	06	2	7.4	2	1	2	-5.83333333333334	0								2	Colorado, United States	US	USCO		39.0646	-105.327	CO	2	Colorado, United States	US	USCO		39.0646	-105.327	CO	20251019200000	https://www.ummid.com/news/2025/october/19-10-2025/why-americans-are-protesting.html
1269509372	20251019	202510	2025	2025.7918											MIL	MILITARY						MIL			1	100	100	10	3	-5.0	10	1	10	-0.67567567567567	0								1	Kenya	KE	KE		1	38	KE	1	Kenya	KE	KE		1	38	KE	20251019200000	https://www.president.go.ke/inauguration-of-the-moran-centre-and-official-opening-of-the-formation-commanders-conference/
1269509373	20251019	202510	2025	2025.7918											MIL	NAVAL						MIL			0	190	190	19	4	-10.0	1	1	1	3.25443786982248	0								4	Leyte, Leyte, Philippines	RP	RP37	24258	11.3697	124.487	-2432700	4	Leyte, Leyte, Philippines	RP	RP37	24258	11.3697	124.487	-2432700	20251019200000	https://www.sunstar.com.ph/tacloban/all-set-for-81st-leyte-gulf-landings-commemoration
1269509374	20251019	202510	2025	2025.7918											NGA	NIGERIA	NGA								0	053	053	05	1	3.8	1	1	1	2.02020202020202	0								4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	4	Anambra, Nigeria (general), Nigeria	NI	NI00	22911	7.26667	7.4	-1999832	20251019200000	https://www.nationalaccordnewspaper.com/ohanaeze-blasts-fg-over-gas-project-snub-demands-inclusion-for-southeast/
