1270560284	20241025	202410	2024	2024.8082	CHE	BASEL	CHE								QAT	QATAR	QAT								1	030	030	03	1	4.0	5	1	5	4.91452991452992	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20251025001500	https://www.artnews.com/art-news/news/art-basel-discounts-new-galleries-2025-1234758887/
1270560299	20250925	202509	2025	2025.7260	USA	UNITED STATES	USA								CVL	VILLAGE						CVL			0	193	193	19	4	-10.0	2	1	2	3.82882882882882	3	City Of Tulsa, Oklahoma, United States	US	USOK	OK143	36.1284	-95.9035	2412110	3	City Of Tulsa, Oklahoma, United States	US	USOK		36.1284	-95.9035	2412110	3	City Of Tulsa, Oklahoma, United States	US	USOK		36.1284	-95.9035	2412110	20251025001500	https://www.fox23.com/news/tulsa-program-working-to-empower-black-women-improve-maternal-health-outcomes/article_491b5324-6b0f-4ae7-849e-5aee473a6cde.html
1270560300	20250925	202509	2025	2025.7260	USA	UNITED STATES	USA								ELI	ACTOR						ELI			1	043	043	04	1	2.8	2	1	2	1.8018018018018	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20251025001500	https://us.cnn.com/2025/10/23/style/jennifer-lawrence-sweater-red-carpet
1270560301	20250925	202509	2025	2025.7260	USA	UNITED STATES	USA								LEG	SENATE						LEG			1	011	011	01	1	-0.1	2	1	2	3.33333333333334	3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251025001500	https://nystateofpolitics.com/state-of-politics/new-york/politics/2025/10/24/hakeem-jeffries-endorses-zohran-mamdani-for-mayor
1270560302	20250925	202509	2025	2025.7260	USA	UNITED STATES	USA								LEG	SENATE						LEG			1	051	051	05	1	3.4	4	1	4	3.33333333333334	3	Brooklyn, New York, United States	US	USNY	NY025	42.3442	-75.1704	944840	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251025001500	https://nystateofpolitics.com/state-of-politics/new-york/politics/2025/10/24/hakeem-jeffries-endorses-zohran-mamdani-for-mayor
1270560303	20250925	202509	2025	2025.7260	USAELI	UNITED STATES	USA					ELI													1	042	042	04	1	1.9	2	1	2	1.8018018018018	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	0								4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20251025001500	https://us.cnn.com/2025/10/23/style/jennifer-lawrence-sweater-red-carpet
1270560304	20250925	202509	2025	2025.7260	USAELI	UNITED STATES	USA					ELI													1	128	128	12	3	-5.0	2	1	2	1.8018018018018	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20251025001500	https://us.cnn.com/2025/10/23/style/jennifer-lawrence-sweater-red-carpet
1270560305	20250925	202509	2025	2025.7260	USAGOVAGR	THE US	USA					GOV	AGR												1	071	071	07	2	7.4	5	1	5	-1.34128166915053	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20251025001500	https://us.cnn.com/2025/10/24/politics/usda-contingency-fund-november-snap
1270560306	20251018	202510	2025	2025.7890											USA	UNITED STATES	USA								0	051	051	05	1	3.4	2	1	2	-2.69320843091335	0								3	Hampshire, New York, United States	US	USNY	NY101	42.1634	-77.5242	972587	3	Hampshire, New York, United States	US	USNY	NY101	42.1634	-77.5242	972587	20251025001500	https://gazettenet.com/2025/10/24/state-dems-slam-trump-for-halting-snap-starting-nov-1/
1270560307	20251018	202510	2025	2025.7890	AUS	AUSTRALIA	AUS								LEG	SENATE						LEG			0	100	100	10	3	-5.0	2	1	2	-1.29310344827586	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20251025001500	https://www.skynews.com.au/australia-news/politics/really-quite-weak-senate-must-push-chris-bowen-to-release-clandestine-climate-briefs-former-senator-says/news-story/89cc4d8c14aa78e59bbe0d4dfbbddffb?nk=73eaee054db01a878dcae9d54f03e99c-1761350540
1270560308	20251018	202510	2025	2025.7890	AUSLEG	AUSTRALIA	AUS					LEG			LEG	SENATE						LEG			0	100	100	10	3	-5.0	2	1	2	-1.29310344827586	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20251025001500	https://www.skynews.com.au/australia-news/politics/really-quite-weak-senate-must-push-chris-bowen-to-release-clandestine-climate-briefs-former-senator-says/news-story/89cc4d8c14aa78e59bbe0d4dfbbddffb?nk=73eaee054db01a878dcae9d54f03e99c-1761350540
1270560309	20251018	202510	2025	2025.7890	CANGOV	ONTARIO	CAN					GOV													1	020	020	02	1	3.0	10	1	10	-1.61137440758294	4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	0								4	Ottawa, Ontario, Canada	CA	CA08	12755	45.4167	-75.7	-570760	20251025001500	https://www.therecord.com/politics/provincial/donald-trump-made-several-angry-claims-about-ontarios-anti-tariff-ad-we-fact-checked-what/article_e8948da3-8e7b-5ad6-aac7-5af469349180.html
1270560310	20251018	202510	2025	2025.7890	CHNGOV	XI JINPING	CHN					GOV			GOV	PRESIDENT						GOV			0	036	036	03	1	4.0	10	1	10	0.46296296296296	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251025001500	https://www.kmaland.com/ag/agri_news/rollins-announces-immediate-farm-aid-reopening-of-fsa-offices/article_f0d653eb-a328-58e0-ae9f-117d1bb55cbd.html
1270560311	20251018	202510	2025	2025.7890	GOV	PRESIDENT						GOV			CHNGOV	XI JINPING	CHN					GOV			0	036	036	03	1	4.0	10	1	10	0.46296296296296	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251025001500	https://www.kmaland.com/ag/agri_news/rollins-announces-immediate-farm-aid-reopening-of-fsa-offices/article_f0d653eb-a328-58e0-ae9f-117d1bb55cbd.html
1270560312	20251018	202510	2025	2025.7890	GOVAGR	AGRICULTURE SECRETARY						GOV	AGR												0	010	010	01	1	0.0	6	1	6	-1.34128166915053	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20251025001500	https://us.cnn.com/2025/10/24/politics/usda-contingency-fund-november-snap
1270560313	20251018	202510	2025	2025.7890	GOVAGR	AGRICULTURE SECRETARY						GOV	AGR		USA	UNITED STATES	USA								0	010	010	01	1	0.0	2	1	2	-1.34128166915053	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251025001500	https://us.cnn.com/2025/10/24/politics/usda-contingency-fund-november-snap
1270560314	20251018	202510	2025	2025.7890	USA	RALEIGH	USA								GOV	PRESIDENT						GOV			1	010	010	01	1	0.0	4	1	4	-2.94117647058824	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	3	Raleigh, North Carolina, United States	US	USNC	NC183	35.7721	-78.6386	1024242	3	Raleigh, North Carolina, United States	US	USNC	NC183	35.7721	-78.6386	1024242	20251025001500	https://www.mainlinemedianews.com/2025/10/24/north-carolina-map-comments/
1270560315	20251018	202510	2025	2025.7890	USA	RALEIGH	USA								USAGOV	UNITED STATES	USA					GOV			1	010	010	01	1	0.0	1	1	1	-2.94117647058824	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20251025001500	https://www.mainlinemedianews.com/2025/10/24/north-carolina-map-comments/
1270560316	20251018	202510	2025	2025.7890	USAGOVAGR	UNITED STATES	USA					GOV	AGR												0	010	010	01	1	0.0	2	1	2	-1.34128166915053	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20251025001500	https://us.cnn.com/2025/10/24/politics/usda-contingency-fund-november-snap
1270560317	20251024	202510	2025	2025.8055											CAN	EDMONTON	CAN								0	042	042	04	1	1.9	2	1	2	-0.69576217583808	0								4	Bow River, Alberta, Canada	CA	CA01	12521	49.9333	-111.7	-561545	4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20251025001500	https://calgarysun.com/news/ata-responds-to-provinces-plans-to-introduce-back-to-work-legislation
1270560318	20251024	202510	2025	2025.8055											CAN	EDMONTON	CAN								0	042	042	04	1	1.9	8	1	8	-0.69576217583808	0								4	Fort Mcmurray, Alberta, Canada	CA	CA01	154724	56.7333	-111.383	-564818	4	Fort Mcmurray, Alberta, Canada	CA	CA01	154724	56.7333	-111.383	-564818	20251025001500	https://calgarysun.com/news/ata-responds-to-provinces-plans-to-introduce-back-to-work-legislation
1270560319	20251024	202510	2025	2025.8055											CAN	EDMONTON	CAN								0	043	043	04	1	2.8	1	1	1	-0.69576217583808	0								4	Fort Mcmurray, Alberta, Canada	CA	CA01	154724	56.7333	-111.383	-564818	4	Fort Mcmurray, Alberta, Canada	CA	CA01	154724	56.7333	-111.383	-564818	20251025001500	https://calgarysun.com/news/ata-responds-to-provinces-plans-to-introduce-back-to-work-legislation
1270560320	20251024	202510	2025	2025.8055	AUSCOP	NORTHERN TERRITORY	AUS					COP													1	180	180	18	4	-9.0	10	1	10	-7.77777777777777	0								0								0								20251025001500	https://www.miragenews.com/police-seek-information-on-aggravated-assault-1557684/
1270560321	20251024	202510	2025	2025.8055	CAN	EDMONTON	CAN																		0	042	042	04	1	1.9	1	1	1	-0.69576217583808	4	Fort Mcmurray, Alberta, Canada	CA	CA01	154724	56.7333	-111.383	-564818	0								4	Fort Mcmurray, Alberta, Canada	CA	CA01	154724	56.7333	-111.383	-564818	20251025001500	https://calgarysun.com/news/ata-responds-to-provinces-plans-to-introduce-back-to-work-legislation
1270560322	20251024	202510	2025	2025.8055	CAN	EDMONTON	CAN																		0	043	043	04	1	2.8	2	1	2	-0.69576217583808	4	Bow River, Alberta, Canada	CA	CA01	12521	49.9333	-111.7	-561545	0								4	Calgary, Alberta, Canada	CA	CA01	12549	51.0833	-114.083	-561990	20251025001500	https://calgarysun.com/news/ata-responds-to-provinces-plans-to-introduce-back-to-work-legislation
1270560323	20251024	202510	2025	2025.8055	CAN	EDMONTON	CAN																		0	043	043	04	1	2.8	8	1	8	-0.69576217583808	4	Fort Mcmurray, Alberta, Canada	CA	CA01	154724	56.7333	-111.383	-564818	0								4	Fort Mcmurray, Alberta, Canada	CA	CA01	154724	56.7333	-111.383	-564818	20251025001500	https://calgarysun.com/news/ata-responds-to-provinces-plans-to-introduce-back-to-work-legislation
1270560324	20251024	202510	2025	2025.8055	GOVEDU	MINIST OF EDUCATION						GOV	EDU		GOV	GOVERNMENT						GOV			1	051	051	05	1	3.4	5	1	5	8.57142857142857	0								0								0								20251025001500	https://www.nbcsvg.com/2025/10/24/84-top-performers-rewarded-at-national-schools-independence-rally/
1270560325	20251024	202510	2025	2025.8055	USA	SAN DIEGO	USA																		1	090	090	09	2	-2.0	3	1	3	-1.76991150442478	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	0								3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20251025001500	http://www.eastcountymagazine.org/taxonomy/term/1492
1270560326	20251024	202510	2025	2025.8055	USA	SAN DIEGO	USA								COP	POLICE OFFICER						COP			1	090	090	09	2	-2.0	1	1	1	-1.76991150442478	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	3	Chula Vista, California, United States	US	USCA		32.6401	-117.084	1660481	3	Chula Vista, California, United States	US	USCA		32.6401	-117.084	1660481	20251025001500	http://www.eastcountymagazine.org/taxonomy/term/1492
1270560327	20251024	202510	2025	2025.8055	USA	UNITED STATES	USA								USACOP	UNITED STATES	USA					COP			1	060	060	06	2	6.0	2	1	2	-1.76991150442478	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	20251025001500	http://www.eastcountymagazine.org/taxonomy/term/1492
1270560328	20251024	202510	2025	2025.8055	USA	SAN DIEGO	USA								USACOP	UNITED STATES	USA					COP			1	090	090	09	2	-2.0	3	1	3	-1.76991150442478	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	3	Chula Vista, California, United States	US	USCA		32.6401	-117.084	1660481	3	Chula Vista, California, United States	US	USCA		32.6401	-117.084	1660481	20251025001500	http://www.eastcountymagazine.org/taxonomy/term/1492
1270560329	20251024	202510	2025	2025.8055	USA	UNITED STATES	USA								USACOP	UNITED STATES	USA					COP			1	090	090	09	2	-2.0	1	1	1	-1.76991150442478	3	San Diego, California, United States	US	USCA	CA073	32.7153	-117.157	1661377	3	San Diego, California, United States	US	USCA		32.7153	-117.157	1661377	3	Chula Vista, California, United States	US	USCA		32.6401	-117.084	1660481	20251025001500	http://www.eastcountymagazine.org/taxonomy/term/1492
1270560330	20251025	202510	2025	2025.8082											AGR	RANCHER						AGR			1	014	014	01	1	0.0	1	1	1	0	0								1	Argentina	AR	AR		-34	-64	AR	1	Argentina	AR	AR		-34	-64	AR	20251025001500	https://www.newsdakota.com/2025/10/24/president-trump-fires-back-at-upset-u-s-cattle-producers/
1270560331	20251025	202510	2025	2025.8082											AGR	RANCHER						AGR			1	014	014	01	1	0.0	4	1	4	0	0								1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20251025001500	https://www.newsdakota.com/2025/10/24/president-trump-fires-back-at-upset-u-s-cattle-producers/
1270560332	20251025	202510	2025	2025.8082											ARG	BUENOS AIRES	ARG								1	036	036	03	1	4.0	14	2	14	0.997255709105165	0								4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	20251025001500	https://www.finanznachrichten.de/nachrichten-2025-10/66790692-cablevision-holding-s-a-cablevision-holding-s-a-to-host-webcast-presentation-to-discuss-third-quarter-2025-results-200.htm
1270560333	20251025	202510	2025	2025.8082											AUS	AUSTRALIA	AUS								0	173	173	17	4	-5.0	2	1	2	-9.77443609022552	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20251025001500	https://www.perthnow.com.au/news/crime/high-profile-balenciaga-bikie-tarek-zahed-arrested-at-airbnb-in-sydneys-northwest-after-weeks-on-the-run-c-20464344
1270560334	20251025	202510	2025	2025.8082											AUS	CANBERRA	AUS								0	190	190	19	4	-10.0	14	2	14	-6.58959537572254	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20251025001500	https://www.cootamundraherald.com.au/story/9096876/not-just-another-flu-covid-19-complacency-risks-lives/
1270560335	20251025	202510	2025	2025.8082											AUS	AUSTRALIA	AUS								0	190	190	19	4	-10.0	2	1	2	-9.77443609022552	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20251025001500	https://www.perthnow.com.au/news/crime/high-profile-balenciaga-bikie-tarek-zahed-arrested-at-airbnb-in-sydneys-northwest-after-weeks-on-the-run-c-20464344
1270560336	20251025	202510	2025	2025.8082											BOL	SANTA CRUZ	BOL								1	141	141	14	3	-6.5	4	1	4	-3.34600760456274	0								3	Coast Guard Island, California, United States	US	USCA		37.7822	-122.25	224364	3	Coast Guard Island, California, United States	US	USCA		37.7822	-122.25	224364	20251025001500	https://www.santacruzsentinel.com/2025/10/24/san-jose-protests-immigration-ice-san-francisco/
1270560337	20251025	202510	2025	2025.8082											BOL	SANTA CRUZ	BOL								1	141	141	14	3	-6.5	1	1	1	-3.34600760456274	0								3	Oakland, California, United States	US	USCA	CA001	37.8044	-122.271	277566	3	Oakland, California, United States	US	USCA	CA001	37.8044	-122.271	277566	20251025001500	https://www.santacruzsentinel.com/2025/10/24/san-jose-protests-immigration-ice-san-francisco/
1270560338	20251025	202510	2025	2025.8082											BUS	COMPANY						BUS			1	020	020	02	1	3.0	2	1	2	3.11418685121108	0								3	Kittery, Maine, United States	US	USME	ME031	43.0881	-70.7362	569229	3	Kittery, Maine, United States	US	USME	ME031	43.0881	-70.7362	569229	20251025001500	https://wjbq.com/maine-restaurants-closed-september-2025/
1270560339	20251025	202510	2025	2025.8082											BUS	BUSINESS						BUS			1	036	036	03	1	4.0	20	2	20	3.28880100725868	0								3	Lubbock, Texas, United States	US	USTX	TX303	33.5779	-101.855	1374760	3	Lubbock, Texas, United States	US	USTX	TX303	33.5779	-101.855	1374760	20251025001500	https://kfyo.com/ixp/190/p/workplace-halloween-costumes-lubbock/
1270560340	20251025	202510	2025	2025.8082											BUS	BANK						BUS			1	041	041	04	1	1.0	10	1	10	-3.74531835205993	0								3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	3	Phoenix, Arizona, United States	US	USAZ	AZ013	33.4484	-112.074	44784	20251025001500	https://www.abc15.com/news/let-abc15-know/scammers-are-costing-americans-billions-through-spoofing-calls-and-texts
1270560341	20251025	202510	2025	2025.8082											BUS	BANK						BUS			1	042	042	04	1	1.9	4	1	4	-7.46268656716413	0								3	Lubbock, Texas, United States	US	USTX	TX303	33.5779	-101.855	1374760	3	Lubbock, Texas, United States	US	USTX	TX303	33.5779	-101.855	1374760	20251025001500	https://www.kcbd.com/2025/10/24/more-than-20-tons-documents-disposed-10th-annual-shred-a-ton/
1270560342	20251025	202510	2025	2025.8082											BUS	BANK						BUS			1	042	042	04	1	1.9	6	1	6	-4.94186046511628	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20251025001500	https://wwmt.com/news/state/trooper-will-not-face-charges-after-shooting-man-who-took-hostage-at-bank-in-saginaw-twp
1270560343	20251025	202510	2025	2025.8082											BUS	CORPORATION						BUS			1	046	046	04	1	7.0	5	1	5	-2.33160621761658	0								4	Montego Bay, Saint James, Jamaica	JM	JM12	18429	18.4712	-77.9188	-3752832	4	Montego Bay, Saint James, Jamaica	JM	JM12	18429	18.4712	-77.9188	-3752832	20251025001500	https://jamaica-gleaner.com/article/news/20251024/st-james-authorities-begin-evacuation-homeless-ahead-tropical-storm-melissa
1270560344	20251025	202510	2025	2025.8082											BUS	COMPANY						BUS			1	046	046	04	1	7.0	5	1	5	-1.7910447761194	0								4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20251025001500	https://cheknews.ca/prince-of-whales-boat-hits-humpback-whale-in-surprise-encounter-1285640/
1270560345	20251025	202510	2025	2025.8082											BUS	INVESTOR						BUS			1	060	060	06	2	6.0	5	1	5	3.54330708661418	0								3	Burlington, Washington, United States	US	USWA	WA057	48.4757	-122.325	1512052	3	Burlington, Washington, United States	US	USWA	WA057	48.4757	-122.325	1512052	20251025001500	https://signalscv.com/2025/10/centre-pointe-marketplace-break-up-sales-total-33-8m/
1270560346	20251025	202510	2025	2025.8082											BUS	BUSINESS						BUS			0	061	061	06	2	6.4	6	1	6	-3.38028169014084	0								1	Canada	CA	CA		60	-96	CA	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251025001500	https://www.chicagotribune.com/2025/10/24/trump-canadian-ad-tariffs-explainer/
1270560347	20251025	202510	2025	2025.8082											BUS	COMPANY						BUS			0	100	100	10	3	-5.0	3	1	3	-3.97058823529412	0								3	Fallston, Maryland, United States	US	USMD	MD025	39.5146	-76.4111	584343	3	Fallston, Maryland, United States	US	USMD	MD025	39.5146	-76.4111	584343	20251025001500	https://www.delcotimes.com/2025/10/24/aceco-demolition-white-house/
1270560348	20251025	202510	2025	2025.8082											BUS	COMPANY						BUS			0	100	100	10	3	-5.0	3	1	3	-3.97058823529412	0								2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20251025001500	https://www.delcotimes.com/2025/10/24/aceco-demolition-white-house/
