1265289853	20240926	202409	2024	2024.7288	AUS	AUSTRALIA	AUS								CVL	COMMUNITY						CVL			0	012	012	01	1	-0.4	2	1	2	-0.40899795501022	4	Glenside, Western Australia, Australia	AS	AS08	5485	-31.3257	116.666	11459375	4	Glenside, Western Australia, Australia	AS	AS08	5485	-31.3257	116.666	11459375	4	Glenside, Western Australia, Australia	AS	AS08	5485	-31.3257	116.666	11459375	20250926033000	https://www.abc.net.au/news/2025-09-26/sa-declared-public-precincts/105820216
1265289872	20250926	202509	2025	2025.7288											ARE	DUBAI	ARE								1	051	051	05	1	3.4	10	1	10	4.61538461538462	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250926033000	https://tradearabia.com:443/News/436763/Kerzner-assumes-management-of-The-Meydan-Hotel
1265289873	20250926	202509	2025	2025.7288											AUS	AUSTRALIA	AUS								1	043	043	04	1	2.8	2	1	2	-1.05820105820105	0								4	Cessnock, New South Wales, Australia	AS	AS02	5096	-32.8321	151.356	-1565008	4	Cessnock, New South Wales, Australia	AS	AS02	5096	-32.8321	151.356	-1565008	20250926033000	https://www.cessnockadvertiser.com.au/story/9075214/grattan-albanese-advances-climate-goals-palestine-recognition/
1265289874	20250926	202509	2025	2025.7288											BUS	INVESTOR						BUS			1	040	040	04	1	1.0	1	1	1	4.69798657718121	0								1	Belarus	BO	BO		53	28	BO	1	Belarus	BO	BO		53	28	BO	20250926033000	https://www.dawn.com/news/1944645/pakistan-eyes-belarus-tractor-assembly-plant
1265289875	20250926	202509	2025	2025.7288											BUS	INVESTOR						BUS			1	046	046	04	1	7.0	1	1	1	4.69798657718121	0								4	Taxila, Punjab, Pakistan	PK	PK04	23674	33.7597	72.8375	-2775936	4	Taxila, Punjab, Pakistan	PK	PK04	23674	33.7597	72.8375	-2775936	20250926033000	https://www.dawn.com/news/1944645/pakistan-eyes-belarus-tractor-assembly-plant
1265289876	20250926	202509	2025	2025.7288											BUS	COMPANY						BUS			0	192	192	19	4	-9.5	10	1	10	-4.84927916120576	0								0								0								20250926033000	https://gamerant.com/borderlands-most-annoying-characters/
1265289877	20250926	202509	2025	2025.7288											CHN	CHINA	CHN								0	057	057	05	1	8.0	3	1	3	-0.30120481927711	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250926033000	https://www.staradvertiser.com/2025/09/25/breaking-news/trump-clears-way-for-american-owned-tiktok-valued-at-14b/
1265289878	20250926	202509	2025	2025.7288											CHN	CHINA	CHN								1	190	190	19	4	-10.0	4	1	4	-4.76190476190477	0								5	Hualien County, Hualian Xian, Taiwan	TW	TW10	13277	23.7817	121.393	-2631692	5	Hualien County, Hualian Xian, Taiwan	TW	TW10	13277	23.7817	121.393	-2631692	20250926033000	https://www.smn-news.com/index.php/st-maarten-st-martin-news/48868-st-maarten-tzu-chi-foundation-collecting-cash-relief-for-typhoon-ragasa-victims.html
1265289879	20250926	202509	2025	2025.7288											CHN	CHINA	CHN								1	190	190	19	4	-10.0	6	1	6	-4.76190476190477	0								1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20250926033000	https://www.smn-news.com/index.php/st-maarten-st-martin-news/48868-st-maarten-tzu-chi-foundation-collecting-cash-relief-for-typhoon-ragasa-victims.html
1265289880	20250926	202509	2025	2025.7288											COP	DEPUTY						COP			0	042	042	04	1	1.9	6	1	6	-1.65137614678899	0								3	Wenatchee, Washington, United States	US	USWA	WA007	47.4235	-120.31	1527897	3	Wenatchee, Washington, United States	US	USWA	WA007	47.4235	-120.31	1527897	20250926033000	https://www.durangoherald.com/articles/remains-found-in-washington-state-are-of-travis-decker-wanted-in-daughters-killings-officials-say/
1265289881	20250926	202509	2025	2025.7288											CRMJUD	CRIMINAL						CRM	JUD		0	020	020	02	1	3.0	3	1	3	-8.04150453955901	0								3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20250926033000	https://www.nbclosangeles.com/news/local/dr-laguna-investigation-orange-county-plastic-surgeon/3783329/
1265289882	20250926	202509	2025	2025.7288											CRMJUD	CRIMINAL						CRM	JUD		0	020	020	02	1	3.0	1	1	1	-8.04150453955901	0								3	Orange County, California, United States	US	USCA		33.7	-117.768	277294	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20250926033000	https://www.nbclosangeles.com/news/local/dr-laguna-investigation-orange-county-plastic-surgeon/3783329/
1265289883	20250926	202509	2025	2025.7288											CRMJUD	CRIMINAL						CRM	JUD		0	020	020	02	1	3.0	6	1	6	-8.04150453955901	0								3	Orange County, California, United States	US	USCA		33.7	-117.768	277294	3	Orange County, California, United States	US	USCA		33.7	-117.768	277294	20250926033000	https://www.nbclosangeles.com/news/local/dr-laguna-investigation-orange-county-plastic-surgeon/3783329/
1265289884	20250926	202509	2025	2025.7288											CVL	SETTLEMENT						CVL			1	036	036	03	1	4.0	10	1	10	-2.37741456166419	0								1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250926033000	https://www.myjoyonline.com/amazon-agrees-to-pay-2-5bn-over-claims-it-tricked-prime-customers-2/
1265289885	20250926	202509	2025	2025.7288											CVL	COMMUNITY						CVL			1	041	041	04	1	1.0	10	1	10	-4.4	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250926033000	https://www.12newsnow.com/article/news/local/sabine-pass-isd-superintendent-recalls-how-community-rebuilt-after-rita/502-ccbff3f5-64ea-46f1-b208-7034cc865c1a
1265289886	20250926	202509	2025	2025.7288											CVL	RESIDENTS						CVL			1	042	042	04	1	1.9	10	1	10	8.92857142857143	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20250926033000	https://midmichigannow.com/news/local/flint-farmers-market-hosts-oktoberfest-celebration
1265289887	20250926	202509	2025	2025.7288											CVL	VILLAGE						CVL			1	043	043	04	1	2.8	1	1	1	-0.81499592502038	0								4	Pankronu, Ghana (general), Ghana	GH	GH00	190720	6.75071	-1.60617	-2077956	4	Pankronu, Ghana (general), Ghana	GH	GH00	190720	6.75071	-1.60617	-2077956	20250926033000	https://thechronicle.com.gh/feature-asantehemaas-d%C9%94te-yie/
1265289888	20250926	202509	2025	2025.7288											CVL	NEIGHBORHOOD						CVL			1	043	043	04	1	2.8	6	1	6	2.06286836935167	0								3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20250926033000	https://www.nbclosangeles.com/entertainment/entertainment-news/hamilton-movie-disabled-woman-kicked-out-theater-audience/3783313/
1265289889	20250926	202509	2025	2025.7288											CVL	ENGINEER						CVL			1	090	090	09	2	-2.0	10	1	10	-6.27118644067796	0								4	Malaybalay, City of Malaybalay, Philippines	RP	RPK6	24262	8.1575	125.128	-2436612	4	Malaybalay, City of Malaybalay, Philippines	RP	RPK6	24262	8.1575	125.128	-2436612	20250926033000	https://www.rappler.com/philippines/mindanao/dpwh-director-lilibeth-aparecio-officials-courtesy-resignations-september-2025/
1265289890	20250926	202509	2025	2025.7288											CVL	MIGRANT						CVL			0	190	190	19	4	-10.0	6	1	6	-2.93122886133033	0								3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20250926033000	https://nypost.com/2025/09/25/us-news/anti-ice-shooter-was-lazy-stoner-who-relocated-to-washington-to-pick-pot-ex-boss-says/
1265289891	20250926	202509	2025	2025.7288											EDU	STUDENT						EDU			0	020	020	02	1	3.0	6	1	6	-4.46247464503042	0								3	West Hollywood, California, United States	US	USCA		34.09	-118.362	1652810	3	West Hollywood, California, United States	US	USCA		34.09	-118.362	1652810	20250926033000	https://www.nbclosangeles.com/news/local/lax-stolen-luggage-delta-ucla-student/3783372/
1265289892	20250926	202509	2025	2025.7288											EDU	STUDENT						EDU			0	020	020	02	1	3.0	4	1	4	-4.46247464503042	0								3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20250926033000	https://www.nbclosangeles.com/news/local/lax-stolen-luggage-delta-ucla-student/3783372/
1265289893	20250926	202509	2025	2025.7288											EDU	SCHOOL						EDU			0	042	042	04	1	1.9	10	1	10	1.83150183150183	0								3	Richmond, Virginia, United States	US	USVA	VA760	37.5538	-77.4603	1499957	3	Richmond, Virginia, United States	US	USVA	VA760	37.5538	-77.4603	1499957	20250926033000	https://richmondfreepress.com/news/2025/sep/25/rps-continues-free-vaccine-program-for-middle-and-high-schoolers/
1265289894	20250926	202509	2025	2025.7288											GBR	UNITED KINGDOM	GBR								1	042	042	04	1	1.9	10	1	10	1.79640718562874	0								4	Hornsea, East Riding of Yorkshire, United Kingdom	UK	UKE1	40115	53.9	-0.166667	-2599041	4	Hornsea, East Riding of Yorkshire, United Kingdom	UK	UKE1	40115	53.9	-0.166667	-2599041	20250926033000	https://maritime-executive.com/article/cadeler-takes-delivery-of-wtiv-capable-of-handling-foundations-and-turbines
1265289895	20250926	202509	2025	2025.7288											GBR	LONDON	GBR								1	043	043	04	1	2.8	2	1	2	2.8735632183908	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	India	IN	IN		20	77	IN	20250926033000	https://www.businesstoday.in/technology/news/story/cmf-to-become-indias-first-global-smartphone-brand-with-100-million-optiemus-joint-venture-495797-2025-09-26
1265289896	20250926	202509	2025	2025.7288											GOV	GOVERNANCE						GOV			0	010	010	01	1	0.0	10	1	10	-2.62529832935561	0								1	Malawi	MI	MI		-13.5	34	MI	1	Malawi	MI	MI		-13.5	34	MI	20250926033000	https://www.lusakatimes.com/2025/09/26/outgoing-malawi-president-paid-the-price-for-ignoring-the-church/
1265289897	20250926	202509	2025	2025.7288											GOV	GOVERNMENT						GOV			0	020	020	02	1	3.0	10	1	10	-2.62529832935561	0								1	Malawi	MI	MI		-13.5	34	MI	1	Malawi	MI	MI		-13.5	34	MI	20250926033000	https://www.lusakatimes.com/2025/09/26/outgoing-malawi-president-paid-the-price-for-ignoring-the-church/
1265289898	20250926	202509	2025	2025.7288											GOV	PRIME MINISTER						GOV			1	042	042	04	1	1.9	10	1	10	5.26315789473684	0								4	Dehradun, Uttaranchal, India	IN	IN39	70287	30.3167	78.0333	-2094211	4	Dehradun, Uttaranchal, India	IN	IN39	70287	30.3167	78.0333	-2094211	20250926033000	https://www.newkerala.com/news/o/uttarakhand-cm-dhami-lays-emphasis-indigenous-products-952
1265289899	20250926	202509	2025	2025.7288											GOV	PRESIDENT						GOV			1	043	043	04	1	2.8	3	1	3	2.66429840142095	0								4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	4	Hanoi, Ha N?i, Vietnam, Republic Of	VM	VM44	74067	21.0333	105.85	-3714993	20250926033000	https://en.vietnamplus.vn/state-president-returns-to-hanoi-concluding-trip-for-unga-80-bilateral-activities-in-us-post327279.vnp
1265289900	20250926	202509	2025	2025.7288											GOV	PRIME MINISTER						GOV			1	051	051	05	1	3.4	10	1	10	5.26315789473684	0								4	Dehradun, Uttaranchal, India	IN	IN39	70287	30.3167	78.0333	-2094211	4	Dehradun, Uttaranchal, India	IN	IN39	70287	30.3167	78.0333	-2094211	20250926033000	https://www.newkerala.com/news/o/uttarakhand-cm-dhami-lays-emphasis-indigenous-products-952
1265289901	20250926	202509	2025	2025.7288											GOV	GOVERNMENT						GOV			1	130	130	13	3	-4.4	6	1	6	1.71428571428571	0								1	Malaysia	MY	MY		2.5	112.5	MY	1	Malaysia	MY	MY		2.5	112.5	MY	20250926033000	https://www.thestar.com.my/news/nation/2025/09/26/budi95-server-system-can-process-30000-transactions-per-minute-says-anwar
1265289902	20250926	202509	2025	2025.7288											GOV	GOVERNMENT						GOV			0	190	190	19	4	-10.0	10	1	10	-1.05820105820105	0								4	Cessnock, New South Wales, Australia	AS	AS02	5096	-32.8321	151.356	-1565008	4	Cessnock, New South Wales, Australia	AS	AS02	5096	-32.8321	151.356	-1565008	20250926033000	https://www.cessnockadvertiser.com.au/story/9075214/grattan-albanese-advances-climate-goals-palestine-recognition/
1265289903	20250926	202509	2025	2025.7288											HLH	DOCTOR						HLH			0	040	040	04	1	1.0	3	1	3	2.21052631578947	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250926033000	https://www.thetimes.com/life-style/luxury/article/london-beauty-industry-exodus-times-luxury-whv9b5w2x
1265289904	20250926	202509	2025	2025.7288											HLH	DOCTOR						HLH			0	040	040	04	1	1.0	2	1	2	2.21052631578947	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250926033000	https://www.thetimes.com/life-style/luxury/article/london-beauty-industry-exodus-times-luxury-whv9b5w2x
1265289905	20250926	202509	2025	2025.7288											ISR	ISRAEL	ISR								1	051	051	05	1	3.4	4	1	4	-3.19672131147541	0								1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20250926033000	https://5tjt.com/two-state-pollution/
1265289906	20250926	202509	2025	2025.7288											JOR	JORDAN	JOR								1	190	190	19	4	-10.0	10	1	10	-3.93939393939394	0								1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	20250926033000	https://news4sanantonio.com/news/local/families-of-cold-case-victims-in-san-antonio-demand-answers-from-police
1265289907	20250926	202509	2025	2025.7288											JUD	LAWYER						JUD			0	020	020	02	1	3.0	10	1	10	-10.1145038167939	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250926033000	https://www.myjoyonline.com/sean-diddy-combs-back-in-court-to-ask-for-reversal-of-conviction-or-new-trial/
1265289908	20250926	202509	2025	2025.7288											JUD	SUPREME COURT						JUD			1	036	036	03	1	4.0	6	1	6	6	0								3	State Of Hawaii, Hawaii, United States	US	USHI		20.7503	-156.5	1779782	3	State Of Hawaii, Hawaii, United States	US	USHI		20.7503	-156.5	1779782	20250926033000	https://www.staradvertiser.com/2025/09/25/breaking-news/mckenna-to-lead-hawaii-judiciary-as-acting-chief-starting-oct-1/
1265289909	20250926	202509	2025	2025.7288											JUD	ATTORNEY						JUD			1	112	112	11	3	-2.0	4	1	4	-5.23809523809524	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250926033000	https://www.firstpost.com/tech/deeply-troubling-pattern-musks-xai-accuses-openai-of-stealing-trade-secrets-13937021.html
1265289910	20250926	202509	2025	2025.7288											JUD	ATTORNEY						JUD			1	128	128	12	3	-5.0	4	1	4	-5.23809523809524	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250926033000	https://www.firstpost.com/tech/deeply-troubling-pattern-musks-xai-accuses-openai-of-stealing-trade-secrets-13937021.html
1265289911	20250926	202509	2025	2025.7288											MED	NEWSPAPER						MED			0	051	051	05	1	3.4	10	1	10	-2.48447204968944	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250926033000	https://richmondfreepress.com/news/2025/sep/25/silencing-journalists-threatens-freedom-of-all-americans-by-barbara-reynolds/
1265289912	20250926	202509	2025	2025.7288											MEX	MEXICO	MEX								1	042	042	04	1	1.9	10	1	10	-5.76923076923077	0								4	Pedro Colorado, Tabasco, Mexico	MX	MX27	20982	17.6958	-92.5	6228058	4	Pedro Colorado, Tabasco, Mexico	MX	MX27	20982	17.6958	-92.5	6228058	20250926033000	https://www.nbclosangeles.com/news/local/deported-tiktokers-document-life-immigration-mexico/3783383/
1265289913	20250926	202509	2025	2025.7288											MEX	MEXICO	MEX								1	063	063	06	2	7.4	10	1	10	-5.76923076923077	0								4	Pedro Colorado, Tabasco, Mexico	MX	MX27	20982	17.6958	-92.5	6228058	4	Pedro Colorado, Tabasco, Mexico	MX	MX27	20982	17.6958	-92.5	6228058	20250926033000	https://www.nbclosangeles.com/news/local/deported-tiktokers-document-life-immigration-mexico/3783383/
1265289914	20250926	202509	2025	2025.7288											MIL	NAVAL						MIL			1	190	190	19	4	-10.0	10	1	10	-8.47457627118644	0								1	North Korea	KN	KN		40	127	KN	1	North Korea	KN	KN		40	127	KN	20250926033000	https://www.channelnewsasia.com/east-asia/south-korea-warning-shots-north-ship-sea-border-5370406
1265289915	20250926	202509	2025	2025.7288											MYSGOV	MALAYSIA	MYS					GOV			1	010	010	01	1	0.0	4	1	4	1.71428571428571	0								1	Malaysia	MY	MY		2.5	112.5	MY	1	Malaysia	MY	MY		2.5	112.5	MY	20250926033000	https://www.thestar.com.my/news/nation/2025/09/26/budi95-server-system-can-process-30000-transactions-per-minute-says-anwar
1265289916	20250926	202509	2025	2025.7288											MYSGOV	MALAYSIA	MYS					GOV			1	130	130	13	3	-4.4	4	1	4	1.71428571428571	0								1	Malaysia	MY	MY		2.5	112.5	MY	1	Malaysia	MY	MY		2.5	112.5	MY	20250926033000	https://www.thestar.com.my/news/nation/2025/09/26/budi95-server-system-can-process-30000-transactions-per-minute-says-anwar
1265289917	20250926	202509	2025	2025.7288											OPP	ACTIVIST						OPP			0	040	040	04	1	1.0	8	1	8	4.66666666666667	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	1	Israel	IS	IS		31.5	34.75	IS	20250926033000	https://richmondfreepress.com/news/2025/sep/25/peacefest-links-richmonds-marchers-music-and-climate-action/
1265289918	20250926	202509	2025	2025.7288											OPP	ACTIVIST						OPP			0	040	040	04	1	1.0	2	1	2	4.66666666666667	0								2	Virginia, United States	US	USVA		37.768	-78.2057	VA	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	20250926033000	https://richmondfreepress.com/news/2025/sep/25/peacefest-links-richmonds-marchers-music-and-climate-action/
1265289919	20250926	202509	2025	2025.7288											PAK	PAKISTAN	PAK								1	040	040	04	1	1.0	3	1	3	4.69798657718121	0								4	Taxila, Punjab, Pakistan	PK	PK04	23674	33.7597	72.8375	-2775936	4	Taxila, Punjab, Pakistan	PK	PK04	23674	33.7597	72.8375	-2775936	20250926033000	https://www.dawn.com/news/1944645/pakistan-eyes-belarus-tractor-assembly-plant
1265289920	20250926	202509	2025	2025.7288											PAK	PAKISTAN	PAK								1	040	040	04	1	1.0	3	1	3	4.69798657718121	0								4	Taxila, Punjab, Pakistan	PK	PK04	23674	33.7597	72.8375	-2775936	1	Belarus	BO	BO		53	28	BO	20250926033000	https://www.dawn.com/news/1944645/pakistan-eyes-belarus-tractor-assembly-plant
