1269748944	20250921	202509	2025	2025.7151	MIL	MILITARY						MIL			CHNGOV	XI JINPING	CHN					GOV			1	017	017	01	1	0.0	10	1	10	-0.79365079365079	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20251021051500	https://www.channelnewsasia.com/east-asia/chnia-interested-expansion-solve-economic-problems-taiwan-official-5414416
1269748968	20251021	202510	2025	2025.7973											AFG	AFGHANISTAN	AFG								0	043	043	04	1	2.8	2	1	2	-2.16110019646365	0								4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20251021051500	https://tribune.com.pk/story/2573332/kabul-delhi-nexus-1
1269748969	20251021	202510	2025	2025.7973											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	4	1	4	1.89228529839883	0								4	Ninghan, Western Australia, Australia	AS	AS08	5570	-29.4662	117.299	-1600579	4	Ninghan, Western Australia, Australia	AS	AS08	5570	-29.4662	117.299	-1600579	20251021051500	https://econews.com.au/68088/endangered-chuditch-become-proud-grandparents-at-wa-wildlife-sanctuary/
1269748970	20251021	202510	2025	2025.7973											AUS	AUSTRALIA	AUS								1	043	043	04	1	2.8	4	1	4	-1.13168724279836	0								4	Marrabel, South Australia, Australia	AS	AS05	5274	-34.15	138.867	-1586014	4	Marrabel, South Australia, Australia	AS	AS05	5274	-34.15	138.867	-1586014	20251021051500	https://www.stockjournal.com.au/story/9092276/marrabel-residents-concerned-about-northern-transmission-project/
1269748971	20251021	202510	2025	2025.7973											AUS	CANBERRA	AUS								0	046	046	04	1	7.0	3	1	3	-1.13168724279836	0								4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20251021051500	https://www.stockjournal.com.au/story/9092276/marrabel-residents-concerned-about-northern-transmission-project/
1269748972	20251021	202510	2025	2025.7973											AUS	AUSTRALIA	AUS								0	084	084	08	2	7.0	4	1	4	1.89228529839883	0								4	Ninghan, Western Australia, Australia	AS	AS08	5570	-29.4662	117.299	-1600579	4	Ninghan, Western Australia, Australia	AS	AS08	5570	-29.4662	117.299	-1600579	20251021051500	https://econews.com.au/68088/endangered-chuditch-become-proud-grandparents-at-wa-wildlife-sanctuary/
1269748973	20251021	202510	2025	2025.7973											BGR	BULGARIA	BGR								1	040	040	04	1	1.0	4	1	4	2.55319148936171	0								1	Bulgaria	BU	BU		43	25	BU	1	Bulgaria	BU	BU		43	25	BU	20251021051500	https://www.yahoo.com/news/articles/bulgaria-willing-allow-putins-plane-174400142.html
1269748974	20251021	202510	2025	2025.7973											BGR	BULGARIA	BGR								1	042	042	04	1	1.9	8	1	2	3.71747211895911	0								4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	4	Sofia, Sofiya-Grad, Bulgaria	BU	BU42	12028	42.6833	23.3167	-838489	20251021051500	https://www.globaltimes.cn/page/202510/1346133.shtml
1269748975	20251021	202510	2025	2025.7973											BGR	BULGARIA	BGR								0	042	042	04	1	1.9	2	1	2	3.71747211895911	0								1	Hungary	HU	HU		47	20	HU	1	Hungary	HU	HU		47	20	HU	20251021051500	https://www.globaltimes.cn/page/202510/1346133.shtml
1269748976	20251021	202510	2025	2025.7973											BUS	INVESTOR						BUS			1	020	020	02	1	3.0	10	1	10	-4.03180011357184	0								4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	4	Colombo, Western, Sri Lanka	CE	CE36	25852	6.93194	79.8478	-2214877	20251021051500	http://www.lankaenews.com/news/4806/en
1269748977	20251021	202510	2025	2025.7973											CHN	CHINA	CHN								1	040	040	04	1	1.0	4	1	4	5.3921568627451	0								4	Lu Jing, Sichuan, China	CH	CH32	13003	31.0479	106.517	10327684	4	Lu Jing, Sichuan, China	CH	CH32	13003	31.0479	106.517	10327684	20251021051500	https://developingtelecoms.com/telecom-technology/enterprise-ecosystems/19216-cmi-and-yango-partner-for-digital-enterprise-solutions.html
1269748978	20251021	202510	2025	2025.7973											CHNGOV	CHINESE	CHN					GOV			0	036	036	03	1	4.0	6	1	6	1.75913396481732	0								4	Lifeng, Guangdong, China	CH	CH30	13047	23.7822	116.151	9198279	4	Lifeng, Guangdong, China	CH	CH30	13047	23.7822	116.151	9198279	20251021051500	https://www.bangkokpost.com/world/3124182/us-president-donald-trump-says-he-will-travel-to-malaysia-japan-south-korea
1269748979	20251021	202510	2025	2025.7973											COP	DEPUTIES						COP			1	173	173	17	4	-5.0	3	1	3	-6.66666666666667	0								3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	20251021051500	https://kfoxtv.com/news/local/driver-arrested-after-fleeing-traffic-stop-in-el-paso-county
1269748980	20251021	202510	2025	2025.7973											COP	POLICEMEN						COP			1	180	180	18	4	-9.0	10	1	10	2.05949656750572	0								4	Ladakh, Jammu and Kashmir, India	IN	IN12	72785	34.5	77.5	-2102224	4	Ladakh, Jammu and Kashmir, India	IN	IN12	72785	34.5	77.5	-2102224	20251021051500	http://www.bignewsnetwork.com/news/278647864/your-courage-dedication-serve-as-inspiration-uttarakhand-cm-dhami-honours-bravehearts-on-police-commemoration-day
1269748981	20251021	202510	2025	2025.7973											CUB	CUBA	CUB								0	190	190	19	4	-10.0	1	1	1	1.23927550047664	0								1	Cuba	CU	CU		22	-79.5	CU	1	China	CH	CH		35	105	CH	20251021051500	https://www.breitbart.com/latin-america/2025/10/20/trump-suggests-buying-argentine-beef-to-lower-prices-help-argentina-survive/
1269748982	20251021	202510	2025	2025.7973											CUB	CUBA	CUB								0	190	190	19	4	-10.0	1	1	1	1.23927550047664	0								1	Cuba	CU	CU		22	-79.5	CU	1	Cuba	CU	CU		22	-79.5	CU	20251021051500	https://www.breitbart.com/latin-america/2025/10/20/trump-suggests-buying-argentine-beef-to-lower-prices-help-argentina-survive/
1269748983	20251021	202510	2025	2025.7973											CVL	VILLAGE						CVL			1	042	042	04	1	1.9	5	1	5	7.58196721311475	0								4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	20251021051500	https://vietnamnews.vn/life-style/1727722/kate-festival-2025-spreads-vibrant-colours-unity-of-cham-people.html
1269748984	20251021	202510	2025	2025.7973											EDU	SCHOOL						EDU			0	040	040	04	1	1.0	10	1	10	-2.54083484573503	0								3	Ridgeland High School, Georgia, United States	US	USGA		34.949	-85.3142	2545524	3	Ridgeland High School, Georgia, United States	US	USGA		34.949	-85.3142	2545524	20251021051500	https://newschannel9.com/news/local/school-officials-silent-on-walker-county-teachers-past-allegations-at-meeting-monday-nathan-dawson-ridgeland-high-school
1269748985	20251021	202510	2025	2025.7973											EDU	STUDENT						EDU			0	043	043	04	1	2.8	3	1	3	1.1070110701107	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20251021051500	https://www.michigandaily.com/news/campus-life/wallace-house-presents-author-karen-hao-to-discuss-her-book-the-empire-of-ai/
1269748986	20251021	202510	2025	2025.7973											EDU	SCHOOL						EDU			0	046	046	04	1	7.0	10	1	10	-2.54083484573503	0								3	Ridgeland High School, Georgia, United States	US	USGA		34.949	-85.3142	2545524	3	Ridgeland High School, Georgia, United States	US	USGA		34.949	-85.3142	2545524	20251021051500	https://newschannel9.com/news/local/school-officials-silent-on-walker-county-teachers-past-allegations-at-meeting-monday-nathan-dawson-ridgeland-high-school
1269748987	20251021	202510	2025	2025.7973											EDU	UNIVERSITY						EDU			0	057	057	05	1	8.0	6	1	6	0.21834061135371	0								3	Law School, Michigan, United States	US	USMI		42.3603	-86.2684	630202	3	Law School, Michigan, United States	US	USMI		42.3603	-86.2684	630202	20251021051500	https://www.michigandaily.com/news/academics/sacua-discusses-ai-and-compact-for-academic-excellence-in-higher-education/
1269748988	20251021	202510	2025	2025.7973											EDU	UNIVERSITY						EDU			0	100	100	10	3	-5.0	3	1	3	0.21834061135371	0								2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20251021051500	https://www.michigandaily.com/news/academics/sacua-discusses-ai-and-compact-for-academic-excellence-in-higher-education/
1269748989	20251021	202510	2025	2025.7973											EDU	SCHOOL						EDU			1	120	120	12	3	-4.0	10	1	10	0.12338062924121	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251021051500	https://krdo.com/news/2025/10/20/2-universities-decline-white-house-offer-for-expanded-access-to-federal-funding-in-exchange-for-demands-heres-what-we-know/
1269748990	20251021	202510	2025	2025.7973											EDUEDU	COLLEGE						EDU	EDU		1	014	014	01	1	0.0	3	1	3	3.38266384778013	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20251021051500	https://www.stockandland.com.au/story/9093682/gina-rinehart-funds-new-student-housing-at-marcus-oldham/
1269748991	20251021	202510	2025	2025.7973											EUR	EUROPE	EUR								1	042	042	04	1	1.9	2	1	2	6.03508771929825	0								1	Canada	CA	CA		60	-96	CA	1	Canada	CA	CA		60	-96	CA	20251021051500	https://artdaily.com/news/186453/Rembrandt-U-S--Tour-Kicks-Off-at-Gibbes-Museum-in-Charleston
1269748992	20251021	202510	2025	2025.7973											EUR	EUROPE	EUR								1	042	042	04	1	1.9	8	1	8	6.03508771929825	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20251021051500	https://artdaily.com/news/186453/Rembrandt-U-S--Tour-Kicks-Off-at-Gibbes-Museum-in-Charleston
1269748993	20251021	202510	2025	2025.7973											EUR	EUROPE	EUR								0	043	043	04	1	2.8	6	1	6	0.14513788098693	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251021051500	https://artdaily.com/news/186570/Emotional-geometry-at-Perrotin--Jean-Michel-Othoniel-s-shimmering-works-reconcile-minimalism-and-sensuality
1269748994	20251021	202510	2025	2025.7973											FRA	PARIS	FRA								0	043	043	04	1	2.8	2	1	2	2.95475530932595	0								4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	3	Museum Of Modern Art, New York, United States	US	USNY		40.7612	-73.9771	958207	20251021051500	https://artdaily.com/?date=10/21/2025
1269748995	20251021	202510	2025	2025.7973											GOV	PRESIDENT						GOV			1	057	057	05	1	8.0	2	1	2	-1.23647604327666	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20251021051500	https://www.news18.com/world/i-dont-like-you-either-trumps-awkward-exchange-with-australian-envoy-kevin-rudd-watch-ws-l-9648810.html
1269748996	20251021	202510	2025	2025.7973											GOV	FIREFIGHTER						GOV			0	100	100	10	3	-5.0	3	1	3	-1.18152524167562	0								3	Fall River, Massachusetts, United States	US	USMA		41.7015	-71.155	612595	3	Fall River, Massachusetts, United States	US	USMA		41.7015	-71.155	612595	20251021051500	https://www.yahoo.com/news/articles/fall-river-fire-departments-gabriel-185904020.html
1269748997	20251021	202510	2025	2025.7973											GOV	FIREFIGHTER						GOV			0	100	100	10	3	-5.0	2	1	2	-1.18152524167562	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20251021051500	https://www.yahoo.com/news/articles/fall-river-fire-departments-gabriel-185904020.html
1269748998	20251021	202510	2025	2025.7973											GOVDEV	MINIST OF PLANNING						GOV	DEV		0	020	020	02	1	3.0	10	1	10	-0.17182130584192	0								0								0								20251021051500	https://www.bluemountainsgazette.com.au/story/9090200/nsw-planning-bill-overhaul-lacks-public-input/
1269748999	20251021	202510	2025	2025.7973											GOVENV	ENVIRONMENT MINIST						GOV	ENV		0	040	040	04	1	1.0	6	1	6	-1.77705977382876	0								1	Norway	NO	NO		62	10	NO	1	Norway	NO	NO		62	10	NO	20251021051500	https://www.theage.com.au/national/victoria/like-a-bathroom-exhaust-fan-west-gate-tunnel-air-stacks-leave-locals-exposed-to-noxious-fumes-20251020-p5n3u8.html
1269749000	20251021	202510	2025	2025.7973											GOVENV	ENVIRONMENT MINIST						GOV	ENV		0	046	046	04	1	7.0	6	1	6	-1.77705977382876	0								1	Norway	NO	NO		62	10	NO	1	Norway	NO	NO		62	10	NO	20251021051500	https://www.theage.com.au/national/victoria/like-a-bathroom-exhaust-fan-west-gate-tunnel-air-stacks-leave-locals-exposed-to-noxious-fumes-20251020-p5n3u8.html
1269749001	20251021	202510	2025	2025.7973											HLH	HOSPITAL						HLH			0	042	042	04	1	1.9	1	1	1	-4.65116279069767	0								4	Mangaluru, Karnataka, India	IN	IN19	17685	12.8639	74.8353	-2103790	4	Mangaluru, Karnataka, India	IN	IN19	17685	12.8639	74.8353	-2103790	20251021051500	https://timesofindia.indiatimes.com/city/mangaluru/karnataka-cm-siddaramaiahs-puttur-deepavali-event-turns-chaotic-12-hospitalised-amid-heat-and-crowding/articleshow/124713297.cms
1269749002	20251021	202510	2025	2025.7973											IGOJUDICC	INTERNATIONAL CRIMINAL COURT		ICC				IGO	JUD		1	014	014	01	1	0.0	3	1	3	2.55319148936171	0								1	Poland	PL	PL		52	20	PL	4	Budapest, Budapest, Hungary	HU	HU05	17514	47.5	19.0833	-850553	20251021051500	https://www.yahoo.com/news/articles/bulgaria-willing-allow-putins-plane-174400142.html
1269749003	20251021	202510	2025	2025.7973											IGOJUDICC	INTERNATIONAL CRIMINAL COURT		ICC				IGO	JUD		1	036	036	03	1	4.0	3	1	3	2.55319148936171	0								1	Poland	PL	PL		52	20	PL	1	Poland	PL	PL		52	20	PL	20251021051500	https://www.yahoo.com/news/articles/bulgaria-willing-allow-putins-plane-174400142.html
1269749004	20251021	202510	2025	2025.7973											IND	KARNATAKA	IND								1	043	043	04	1	2.8	1	1	1	-4.65116279069767	0								4	Mangaluru, Karnataka, India	IN	IN19	17685	12.8639	74.8353	-2103790	5	Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20251021051500	https://timesofindia.indiatimes.com/city/mangaluru/karnataka-cm-siddaramaiahs-puttur-deepavali-event-turns-chaotic-12-hospitalised-amid-heat-and-crowding/articleshow/124713297.cms
1269749005	20251021	202510	2025	2025.7973											IRL	IRELAND	IRL								1	043	043	04	1	2.8	4	1	4	2.80112044817927	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20251021051500	https://artdaily.com/news/186573/U2-legend-Adam-Clayton-s-collection-of-iconic-guitars-heading-to-Julien-s-Auctions
1269749006	20251021	202510	2025	2025.7973											ISR	ISRAEL	ISR								0	073	073	07	2	7.4	4	1	4	-4.55373406193079	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251021051500	https://www.yahoo.com/news/articles/israel-hamas-ceasefire-continues-tough-185713977.html
1269749007	20251021	202510	2025	2025.7973											JPN	SAGA	JPN								1	042	042	04	1	1.9	10	1	10	-2.20125786163522	0								0								0								20251021051500	https://www.el-balad.com/6739329
1269749008	20251021	202510	2025	2025.7973											LEG	REPRESENTATIVES						LEG			1	043	043	04	1	2.8	10	1	10	-0.49875311720698	0								1	Malaysia	MY	MY		2.5	112.5	MY	1	Malaysia	MY	MY		2.5	112.5	MY	20251021051500	https://interaksyon.philstar.com/politics-issues/2025/10/21/303773/church-leaders-cite-key-hurdles-to-abuse-reform-efforts/
1269749009	20251021	202510	2025	2025.7973											MEX	MEXICO	MEX								0	043	043	04	1	2.8	4	1	4	5.9059633027523	0								4	Jalisco, Baja California, Mexico	MX	MX02	19586	32.5175	-115.235	-1661292	4	Jalisco, Baja California, Mexico	MX	MX02	19586	32.5175	-115.235	-1661292	20251021051500	https://www.bizbash.com/experiential-marketing/austin-city-limits-2025-music-festival-featuring-brand-activations-exclusive-events-and-more
1269749010	20251021	202510	2025	2025.7973											MIL	CORVETTE						MIL			1	043	043	04	1	2.8	1	1	1	0	0								3	Rogue Valley, Oregon, United States	US	USOR		42.4401	-122.926	1134808	3	Rogue Valley, Oregon, United States	US	USOR		42.4401	-122.926	1134808	20251021051500	https://www.kdrv.com/news/rogue-valley-corvettes-shift-coats-for-kids-campaign-into-high-gear/article_33e2a324-589d-4f65-ae6d-dacf468f8fc2.html
1269749011	20251021	202510	2025	2025.7973											MIL	ARMY						MIL			0	046	046	04	1	7.0	6	1	6	-1.6057091882248	0								3	Fort Bragg, North Carolina, United States	US	USNC		35.1381	-79.0075	2099581	3	Fort Bragg, North Carolina, United States	US	USNC		35.1381	-79.0075	2099581	20251021051500	https://www.dailymail.co.uk/news/article-15195809/Military-fitness-Pete-Hegseth-fat.html
