1274198708	20241114	202411	2024	2024.8603											GOVOPP	GOVERNMENT						GOV	OPP		0	170	170	17	4	-7.0	10	1	10	-2.40073868882733	0								4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20251114144500	https://www.dw.com/en/why-is-india-upping-forces-at-chokepoint-with-bangladesh/a-74745741
1274198719	20251015	202510	2025	2025.7808	GBR	BRITISH	GBR								CAN	CANADA	CAN								0	057	057	05	1	8.0	1	1	1	6.93739424703892	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	20251114144500	https://www.mining-technology.com/news/copper-quest-to-acquire-alpine-gold/
1274198720	20251015	202510	2025	2025.7808	GBR	UNITED KINGDOM	GBR								CAN	CANADA	CAN								0	057	057	05	1	8.0	3	1	3	6.93739424703892	1	United Kingdom	UK	UK		54	-4	UK	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	20251114144500	https://www.mining-technology.com/news/copper-quest-to-acquire-alpine-gold/
1274198721	20251015	202510	2025	2025.7808	ISR	ISRAELI	ISR								PSE	WEST BANK	PSE								0	051	051	05	1	3.4	5	1	5	-4.85981308411215	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Unrwa, West Bank (general), West Bank	WE	WE00	68767	31.8984	35.1773	11289236	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251114144500	https://www.middleeasteye.net/opinion/genocidal-society-israels-crisis-runs-deeper-courts
1274198722	20251015	202510	2025	2025.7808	JUD	JUDICIARY						JUD													0	020	020	02	1	3.0	2	1	2	-4.91803278688525	3	Milwaukee County, Wisconsin, United States	US	USWI	WI079	43.0006	-87.9668	1581100	0								3	Milwaukee County, Wisconsin, United States	US	USWI		43.0006	-87.9668	1581100	20251114144500	https://www.wpr.org/news/focus-dugan-gop-bill-would-withhold-pay-from-suspended-judges
1274198723	20251107	202511	2025	2025.8411	CVL	COMMUNITY						CVL													1	026	026	02	1	4.0	2	1	2	1.11358574610245	4	Glanmire, Cork, Ireland	EI	EI04	18286	51.9158	-8.39972	-1503016	0								4	Glanmire, Cork, Ireland	EI	EI04	18286	51.9158	-8.39972	-1503016	20251114144500	https://www.echolive.ie/corknews/arid-41742678.html
1274198724	20251107	202511	2025	2025.8411	GOV	PRESIDENT						GOV			SAU	SAUDI	SAU								1	036	036	03	1	4.0	2	1	2	6.66666666666667	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Saudi Arabia	SA	SA		25	45	SA	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251114144500	https://biztoc.com/x/8ff2cd5c0372064e
1274198725	20251107	202511	2025	2025.8411	GOV	PRESIDENT						GOV			SAUGOV	SAUDI	SAU					GOV			1	036	036	03	1	4.0	6	1	6	6.66666666666667	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Saudi Arabia	SA	SA		25	45	SA	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251114144500	https://biztoc.com/x/8ff2cd5c0372064e
1274198726	20251107	202511	2025	2025.8411	IRL	IRELAND	IRL																		1	026	026	02	1	4.0	2	1	2	1.11358574610245	4	Glanmire, Cork, Ireland	EI	EI04	18286	51.9158	-8.39972	-1503016	0								4	Glanmire, Cork, Ireland	EI	EI04	18286	51.9158	-8.39972	-1503016	20251114144500	https://www.echolive.ie/corknews/arid-41742678.html
1274198727	20251107	202511	2025	2025.8411	IRL	IRELAND	IRL								IRLCVL	IRELAND	IRL					CVL			1	026	026	02	1	4.0	2	1	2	1.11358574610245	4	Glanmire, Cork, Ireland	EI	EI04	18286	51.9158	-8.39972	-1503016	4	Glanmire, Cork, Ireland	EI	EI04	18286	51.9158	-8.39972	-1503016	4	Glanmire, Cork, Ireland	EI	EI04	18286	51.9158	-8.39972	-1503016	20251114144500	https://www.echolive.ie/corknews/arid-41742678.html
1274198728	20251107	202511	2025	2025.8411	IRLCVL	IRELAND	IRL					CVL													1	026	026	02	1	4.0	4	1	4	1.11358574610245	4	Glanmire, Cork, Ireland	EI	EI04	18286	51.9158	-8.39972	-1503016	0								4	Glanmire, Cork, Ireland	EI	EI04	18286	51.9158	-8.39972	-1503016	20251114144500	https://www.echolive.ie/corknews/arid-41742678.html
1274198729	20251107	202511	2025	2025.8411	SAU	SAUDI	SAU								GOV	PRESIDENT						GOV			1	036	036	03	1	4.0	2	1	2	6.66666666666667	1	Saudi Arabia	SA	SA		25	45	SA	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251114144500	https://biztoc.com/x/8ff2cd5c0372064e
1274198730	20251107	202511	2025	2025.8411	SAU	SAUDI	SAU								USAGOV	UNITED STATES	USA					GOV			1	036	036	03	1	4.0	2	1	2	6.66666666666667	1	Saudi Arabia	SA	SA		25	45	SA	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251114144500	https://biztoc.com/x/8ff2cd5c0372064e
1274198731	20251107	202511	2025	2025.8411	USAGOV	UNITED STATES	USA					GOV			SAU	SAUDI	SAU								1	036	036	03	1	4.0	2	1	2	6.66666666666667	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	1	Saudi Arabia	SA	SA		25	45	SA	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20251114144500	https://biztoc.com/x/8ff2cd5c0372064e
1274198732	20251107	202511	2025	2025.8411	ZAF	MZANSI	ZAF																		1	010	010	01	1	0.0	1	1	1	-2.37154150197628	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	0								4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20251114144500	https://www.jacarandafm.com/news/news/da-fails-no-confidence-motion-against-lesufi/
1274198733	20251107	202511	2025	2025.8411	ZAF	MZANSI	ZAF																		1	010	010	01	1	0.0	1	1	1	-2.37154150197628	5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	0								5	Gauteng, Gauteng, South Africa	SF	SF06	77346	-26.0833	28.25	204226	20251114144500	https://www.jacarandafm.com/news/news/da-fails-no-confidence-motion-against-lesufi/
1274198734	20251107	202511	2025	2025.8411	ZAF	MZANSI	ZAF								AFR	AFRICA	AFR								1	010	010	01	1	0.0	6	1	6	-2.37154150197628	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	4	Johannesburg, Gauteng, South Africa	SF	SF06	77364	-26.2	28.0833	-1240261	20251114144500	https://www.jacarandafm.com/news/news/da-fails-no-confidence-motion-against-lesufi/
1274198735	20251113	202511	2025	2025.8575	BUS	COMPANY						BUS			USA	IOWA	USA								1	040	040	04	1	1.0	8	1	8	-2.41286863270778	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20251114144500	https://kxel.com/2025/11/14/kxel-morning-news-for-fri-nov-14-2025/
1274198736	20251113	202511	2025	2025.8575	CHN	CHINA	CHN																		1	040	040	04	1	1.0	2	1	2	-3.23624595469256	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	0								4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20251114144500	https://athens-times.com/eu-moves-to-impose-fees-on-low-value-parcels-from-temu-and-shein/
1274198737	20251113	202511	2025	2025.8575	DEU	GERMANY	DEU								IGOWSTNAT	NATO	WST	NAT				IGO			1	040	040	04	1	1.0	1	1	1	1.42857142857143	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20251114144500	https://en.interfax.com.ua/news/general/1120644.html
1274198738	20251113	202511	2025	2025.8575	DEU	GERMANY	DEU								IGOWSTNAT	NATO	WST	NAT				IGO			1	040	040	04	1	1.0	2	1	2	1.42857142857143	1	France	FR	FR		46	2	FR	1	Ukraine	UP	UP		49	32	UP	1	France	FR	FR		46	2	FR	20251114144500	https://en.interfax.com.ua/news/general/1120644.html
1274198739	20251113	202511	2025	2025.8575	DEU	GERMANY	DEU								IGOWSTNAT	NATO	WST	NAT				IGO			1	040	040	04	1	1.0	1	1	1	1.42857142857143	1	Ukraine	UP	UP		49	32	UP	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20251114144500	https://en.interfax.com.ua/news/general/1120644.html
1274198740	20251113	202511	2025	2025.8575	DEU	GERMANY	DEU								NLDGOV	MARK RUTTE	NLD					GOV			1	071	071	07	2	7.4	4	1	4	1.42857142857143	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20251114144500	https://en.interfax.com.ua/news/general/1120644.html
1274198741	20251113	202511	2025	2025.8575	IGOWSTNAT	NATO	WST	NAT				IGO			DEU	GERMANY	DEU								1	040	040	04	1	1.0	4	1	4	1.42857142857143	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20251114144500	https://en.interfax.com.ua/news/general/1120644.html
1274198742	20251113	202511	2025	2025.8575	IGOWSTNAT	NATO	WST	NAT				IGO			NLDGOV	MARK RUTTE	NLD					GOV			1	040	040	04	1	1.0	6	1	6	1.42857142857143	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20251114144500	https://en.interfax.com.ua/news/general/1120644.html
1274198743	20251113	202511	2025	2025.8575	NLDGOV	MARK RUTTE	NLD					GOV			IGOWSTNAT	NATO	WST	NAT				IGO			1	040	040	04	1	1.0	6	1	6	1.42857142857143	1	Ukraine	UP	UP		49	32	UP	1	France	FR	FR		46	2	FR	1	France	FR	FR		46	2	FR	20251114144500	https://en.interfax.com.ua/news/general/1120644.html
1274198744	20251113	202511	2025	2025.8575	NLDGOV	MARK RUTTE	NLD					GOV			IGOWSTNAT	NATO	WST	NAT				IGO			1	071	071	07	2	7.4	6	1	6	1.42857142857143	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	4	Berlin, Berlin, Germany	GM	GM16	16538	52.5167	13.4	-1746443	20251114144500	https://en.interfax.com.ua/news/general/1120644.html
1274198745	20251113	202511	2025	2025.8575	USA	IOWA	USA								BUS	COMPANY						BUS			1	040	040	04	1	1.0	8	1	8	-2.41286863270778	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20251114144500	https://kxel.com/2025/11/14/kxel-morning-news-for-fri-nov-14-2025/
1274198746	20251114	202511	2025	2025.8603											AFR	AFRICA	AFR								1	173	173	17	4	-5.0	2	1	2	-8.14814814814811	0								4	Tzaneen, Limpopo, South Africa	SF	SF09	77344	-23.8332	30.1635	-1293353	4	Tzaneen, Limpopo, South Africa	SF	SF09	77344	-23.8332	30.1635	-1293353	20251114144500	https://www.citizen.co.za/news/south-africa/crime/five-arrested-for-murder-at-illegal-polokwane-rehabilitation-centre/
1274198747	20251114	202511	2025	2025.8603											AGR	FARMER						AGR			1	051	051	05	1	3.4	10	1	10	5.01138952164009	0								1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20251114144500	http://www.businessghana.com/site/news/general/338262/Global-Sustainable-Farming-Gets-Boost-as-Bonsucro-and-Better-Cotton-Partner-on-Climate-Resilience...
1274198748	20251114	202511	2025	2025.8603											BUS	BUSINESS						BUS			0	036	036	03	1	4.0	5	1	5	-1.77398160315374	0								1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20251114144500	https://www.manilatimes.net/2025/11/14/tmt-newswire/globenewswire/vaso-corporation-announces-financial-results-for-third-quarter-of-2025/2224321
1274198749	20251114	202511	2025	2025.8603											BUS	COMPANY						BUS			1	040	040	04	1	1.0	3	1	3	4.20560747663551	0								1	Croatia	HR	HR		45.166667	15.5	HR	1	Croatia	HR	HR		45.166667	15.5	HR	20251114144500	https://www.forbes.com/sites/jimdobson/2025/11/14/these-floating-villas-in-croatia-are-the-ultimate-private-residences/
1274198750	20251114	202511	2025	2025.8603											BUS	INDUSTRY						BUS			1	045	045	04	1	5.0	5	1	5	10.6237816764133	0								4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	20251114144500	https://aninews.in/news/business/its-india-congress-2025-successfully-accelerates-indias-ai-driven-mobility-future20251114191656/
1274198751	20251114	202511	2025	2025.8603											BUS	COMPANY						BUS			1	046	046	04	1	7.0	5	1	5	0.414937759336099	0								4	Vilnius, Vilniaus Apskritis, Lithuania	LH	LH65	19171	54.6833	25.3167	-2620663	4	Vilnius, Vilniaus Apskritis, Lithuania	LH	LH65	19171	54.6833	25.3167	-2620663	20251114144500	https://www.manilatimes.net/2025/11/14/tmt-newswire/globenewswire/regarding-initiation-and-convocation-of-the-meeting-of-holders-of-notes-isin-lt0000405938/2224334
1274198752	20251114	202511	2025	2025.8603											BUS	TANKER						BUS			1	046	046	04	1	7.0	10	1	10	-6.04651162790697	0								4	Gulf Of Oman, Iran (general), Iran	IR	IR00	40979	25.4489	57.7939	-3077385	4	Gulf Of Oman, Iran (general), Iran	IR	IR00	40979	25.4489	57.7939	-3077385	20251114144500	https://athens-times.com/iran-seizes-cyprus-linked-tanker-in-strait-of-hormuz-amid-tensions/
1274198753	20251114	202511	2025	2025.8603											BUS	BUSINESS						BUS			0	060	060	06	2	6.0	10	1	10	2.07351555136664	0								1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20251114144500	https://www.forbes.com/sites/alexyork/2025/11/14/this-under-30-raised-18-million-to-make-sleeping-cool-literally/
1274198754	20251114	202511	2025	2025.8603											BUS	COMPANY						BUS			1	060	060	06	2	6.0	10	1	10	2.07351555136664	0								2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20251114144500	https://www.forbes.com/sites/alexyork/2025/11/14/this-under-30-raised-18-million-to-make-sleeping-cool-literally/
1274198755	20251114	202511	2025	2025.8603											BUS	BANK						BUS			0	192	192	19	4	-9.5	10	1	10	4.35779816513762	0								1	Kyrgyzstan	KG	KG		41	75	KG	1	Kyrgyzstan	KG	KG		41	75	KG	20251114144500	https://finance.yahoo.com/news/gold-backed-stablecoins-hit-market-120832766.html
1274198756	20251114	202511	2025	2025.8603											CAN	BRITISH COLUMBIA	CAN								0	057	057	05	1	8.0	1	1	1	6.93739424703892	0								1	United Kingdom	UK	UK		54	-4	UK	4	Kitimat, British Columbia, Canada	CA	CA02	154724	54	-128.7	-567354	20251114144500	https://www.mining-technology.com/news/copper-quest-to-acquire-alpine-gold/
1274198757	20251114	202511	2025	2025.8603											CHN	GUANGZHOU	CHN								1	036	036	03	1	4.0	20	1	20	6.0153776571687	0								4	Guangzhou, Guangdong, China	CH	CH30	13033	23.1167	113.25	-1907161	4	Guangzhou, Guangdong, China	CH	CH30	13033	23.1167	113.25	-1907161	20251114144500	https://ysln.ycwb.com/content/2025-11/14/content_53794896.html
1274198758	20251114	202511	2025	2025.8603											CHNGOV	XI JINPING	CHN					GOV			0	043	043	04	1	2.8	10	1	10	-1.80722891566265	0								5	Fujian, Fujian, China	CH	CH07	13011	26.545	117.843	-1905684	5	Fujian, Fujian, China	CH	CH07	13011	26.545	117.843	-1905684	20251114144500	https://english.pravda.ru/news/world/164845-china-admirals-missing-fujian-carrier-ceremony/
1274198759	20251114	202511	2025	2025.8603											CHR	CHRISTIAN				CHR					0	040	040	04	1	1.0	10	1	10	-5.54272517321016	0								4	Palal, Jammu and Kashmir, India	IN	IN12	72850	32.9462	74.4099	6205441	4	Palal, Jammu and Kashmir, India	IN	IN12	72850	32.9462	74.4099	6205441	20251114144500	https://www.christianitytoday.com/2025/11/hindu-nationalists-missionaries-jammu-kashmir-attack/
1274198760	20251114	202511	2025	2025.8603											COP	POLICE						COP			1	042	042	04	1	1.9	5	1	5	-12.6436781609195	0								4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	4	Hindustan, India (general), India	IN	IN00	17857	28	76	-3414754	20251114144500	https://www.hindustantimes.com/india-news/delhi-man-kills-tenant-injures-another-over-suspected-phone-hacking-rare-coin-theft-101763119433247.html
1274198761	20251114	202511	2025	2025.8603											COP	LAW ENFORCEMENT AGENCIES						COP			1	112	112	11	3	-2.0	2	1	2	-3.78619153674833	0								2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20251114144500	https://www.wqcs.org/wqcs-news/2025-11-14/six-arrested-in-martin-county-online-predator-sting-targeting-child-exploitation
1274198762	20251114	202511	2025	2025.8603											CRM	NARCO TERRORIST						CRM			1	052	052	05	1	3.5	1	1	1	-6.38629283489096	0								3	Lake Erie, Washington, United States	US	USWA		48.4527	-122.641	1504767	3	Lake Erie, Washington, United States	US	USWA		48.4527	-122.641	1504767	20251114144500	https://www.independent.co.uk/news/world/americas/us-politics/hegseth-narco-terrorists-latin-america-b2865319.html
1274198763	20251114	202511	2025	2025.8603											CRM	NARCO TERRORIST						CRM			1	052	052	05	1	3.5	4	1	4	-6.38629283489096	0								3	Fort Wayne, Indiana, United States	US	USIN		41.1306	-85.1289	434689	3	Fort Wayne, Indiana, United States	US	USIN		41.1306	-85.1289	434689	20251114144500	https://www.independent.co.uk/news/world/americas/us-politics/hegseth-narco-terrorists-latin-america-b2865319.html
1274198764	20251114	202511	2025	2025.8603											CRM	CONVICTS						CRM			1	173	173	17	4	-5.0	8	1	8	-7.09876543209876	0								4	Madina, Ghana (general), Ghana	GH	GH00	190724	5.68233	-0.164129	-2075733	4	Madina, Ghana (general), Ghana	GH	GH00	190724	5.68233	-0.164129	-2075733	20251114144500	https://dailypost.ng/2025/11/14/two-nigerians-jailed-for-using-forged-documents-to-obtain-ghana-card/
1274198765	20251114	202511	2025	2025.8603											CRM	CONVICTS						CRM			1	173	173	17	4	-5.0	2	1	2	-7.09876543209876	0								4	Nsawam, Ghana (general), Ghana	GH	GH00	190583	5.3	-0.733333	-2076923	4	Nsawam, Ghana (general), Ghana	GH	GH00	190583	5.3	-0.733333	-2076923	20251114144500	https://dailypost.ng/2025/11/14/two-nigerians-jailed-for-using-forged-documents-to-obtain-ghana-card/
1274198766	20251114	202511	2025	2025.8603											CVL	COMMUNITY						CVL			0	020	020	02	1	3.0	5	1	5	-2.71317829457365	0								4	Gateshead, Gateshead, United Kingdom	UK	UKE5	40134	54.945	-1.6175	-2596844	4	Gateshead, Gateshead, United Kingdom	UK	UKE5	40134	54.945	-1.6175	-2596844	20251114144500	https://www.christiantoday.com/news/christian-charity-urges-churches-to-reach-out-to-homeless-women
1274198767	20251114	202511	2025	2025.8603											CVL	VOTER						CVL			1	020	020	02	1	3.0	10	1	10	3.56435643564357	0								1	Poland	PL	PL		52	20	PL	1	Poland	PL	PL		52	20	PL	20251114144500	https://www.news18.com/elections/from-booth-polish-to-voter-tracking-how-bjp-secured-bihar-9708457.html
1274198768	20251114	202511	2025	2025.8603											CVL	VILLAGE						CVL			0	080	080	08	2	5.0	2	1	2	-12.6436781609195	0								4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	4	Bihar, Bihar, India	IN	IN34	17615	25.1833	85.5167	-2091797	20251114144500	https://www.hindustantimes.com/india-news/delhi-man-kills-tenant-injures-another-over-suspected-phone-hacking-rare-coin-theft-101763119433247.html
1274198769	20251114	202511	2025	2025.8603											CVL	COMMUNITY						CVL			0	0874	087	08	2	10.0	10	1	10	3.90117035110533	0								0								0								20251114144500	https://www.forbes.com/councils/forbesagencycouncil/2025/11/14/how-to-build-a-social-media-strategy-that-actually-stops-thumbs/
1274198770	20251114	202511	2025	2025.8603											CVL	VILLAGE						CVL			1	173	173	17	4	-5.0	2	1	2	-8.14814814814811	0								4	Tzaneen, Limpopo, South Africa	SF	SF09	77344	-23.8332	30.1635	-1293353	4	Tzaneen, Limpopo, South Africa	SF	SF09	77344	-23.8332	30.1635	-1293353	20251114144500	https://www.citizen.co.za/news/south-africa/crime/five-arrested-for-murder-at-illegal-polokwane-rehabilitation-centre/
1274198771	20251114	202511	2025	2025.8603											CVL	CIVILIAN						CVL			0	190	190	19	4	-10.0	1	1	1	-4.42338072669826	0								4	Milan, Lombardia, Italy	IT	IT09	18363	45.4667	9.2	-121726	4	Milan, Lombardia, Italy	IT	IT09	18363	45.4667	9.2	-121726	20251114144500	https://thetab.com/2025/11/14/witness-gives-chilling-account-of-human-safari-where-rich-tourists-allegedly-paid-90k-to-shoot
1274198772	20251114	202511	2025	2025.8603											CVL	CIVILIAN						CVL			0	190	190	19	4	-10.0	4	1	4	-4.42338072669826	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20251114144500	https://thetab.com/2025/11/14/witness-gives-chilling-account-of-human-safari-where-rich-tourists-allegedly-paid-90k-to-shoot
1274198773	20251114	202511	2025	2025.8603											CYM	CAYMAN ISLAND	CYM								1	036	036	03	1	4.0	3	1	3	7.50750750750751	0								4	Cayman, , Cayman Islands	CJ	CJ00		19.5	-80.6667	-1187406	4	Cayman, , Cayman Islands	CJ	CJ00		19.5	-80.6667	-1187406	20251114144500	https://www.radiocayman.gov.ky/news/dcfs-hosts-first-ever-child-safeguarding-week
