1262035094	20240909	202409	2024	2024.6822	AFR	AFRICA	AFR								ETH	ADDIS ABABA	ETH								1	046	046	04	1	7.0	2	1	2	0.495867768595041	1	Egypt	EG	EG		27	30	EG	4	Addis Ababa, (ET10), Ethiopia	ET	ET10	47692	9.03333	38.7	-603097	1	Egypt	EG	EG		27	30	EG	20250909024500	https://www.newsghana.com.gh/african-leaders-demand-climate-justice-at-addis-summit/
1262035105	20240909	202409	2024	2024.6822	USA	NEW YORK	USA								NGOHRIHRW	HUMAN RIGHTS WATCH		HRW				NGO	HRI		0	1821	182	18	4	-9.0	6	1	6	-8.99280575539568	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20250909024500	https://www.ynetnews.com/article/rymp6gpqle
1262035106	20240909	202409	2024	2024.6822	USA	NEW JERSEY	USA								USAJUD	UNITED STATES	USA					JUD			1	010	010	01	1	0.0	1	1	1	-5.26315789473684	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20250909024500	https://www.yahoo.com/news/articles/substandard-rental-conditions-draw-federal-015642438.html
1262035107	20250810	202508	2025	2025.6027	CHRCTHEDU	CATHOLIC				CHR	CTH	EDU			USAEDU	MINNEAPOLIS	USA					EDU			1	193	193	19	4	-10.0	30	3	30	-2.25872689938398	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	2	Texas, United States	US	USTX		31.106	-97.6475	TX	20250909024500	https://www.wamc.org/2025-09-08/the-school-shooting-industry-is-worth-billions-and-it-keeps-growing
1262035108	20250810	202508	2025	2025.6027	CIV	IVORY COAST	CIV								OPP	OPPOSITION LEADER						OPP			1	172	172	17	4	-5.0	8	1	8	-3.71389270976616	1	Cote D'ivoire	IV	IV		8	-5	IV	1	Cote D'ivoire	IV	IV		8	-5	IV	1	Cote D'ivoire	IV	IV		8	-5	IV	20250909024500	https://dailytrust.com/ivory-coast-bars-top-opposition-leaders-from-contesting-presidential-election/
1262035109	20250810	202508	2025	2025.6027	CRM	CRIMINAL						CRM			USAREF	CHARLOTTE	USA					REF			1	190	190	19	4	-10.0	2	1	2	-9.32515337423316	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20250909024500	https://www.yahoo.com/news/articles/trump-says-democrats-blood-hands-000242977.html
1262035110	20250810	202508	2025	2025.6027	GOV	PRESIDENT						GOV			USA	NORTH CAROLINA	USA								1	111	111	11	3	-2.0	5	1	5	-9.32515337423316	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	20250909024500	https://www.yahoo.com/news/articles/trump-says-democrats-blood-hands-000242977.html
1262035111	20250810	202508	2025	2025.6027	GOV	PRESIDENT						GOV			USAREF	CHARLOTTE	USA					REF			1	111	111	11	3	-2.0	3	1	3	-9.32515337423316	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	20250909024500	https://www.yahoo.com/news/articles/trump-says-democrats-blood-hands-000242977.html
1262035112	20250810	202508	2025	2025.6027	HLH	DOCTOR						HLH			GOV	GOVERNMENT						GOV			0	010	010	01	1	0.0	10	1	10	-4.19672131147541	5	Federal Capital Territory, Abuja Federal Capital Territory, Nigeria	NI	NI11	22778	8.83333	7.16667	-1997015	5	Federal Capital Territory, Abuja Federal Capital Territory, Nigeria	NI	NI11	22778	8.83333	7.16667	-1997015	5	Federal Capital Territory, Abuja Federal Capital Territory, Nigeria	NI	NI11	22778	8.83333	7.16667	-1997015	20250909024500	https://dailytrust.com/doctors-strike-patients-resort-to-private-hospitals/
1262035113	20250810	202508	2025	2025.6027	HLH	DOCTOR						HLH			GOV	GOVERNMENT						GOV			0	020	020	02	1	3.0	10	1	10	-4.19672131147541	5	Federal Capital Territory, Abuja Federal Capital Territory, Nigeria	NI	NI11	22778	8.83333	7.16667	-1997015	5	Federal Capital Territory, Abuja Federal Capital Territory, Nigeria	NI	NI11	22778	8.83333	7.16667	-1997015	5	Federal Capital Territory, Abuja Federal Capital Territory, Nigeria	NI	NI11	22778	8.83333	7.16667	-1997015	20250909024500	https://dailytrust.com/doctors-strike-patients-resort-to-private-hospitals/
1262035114	20250810	202508	2025	2025.6027	JUD	ATTORNEY						JUD			USA	PORTLAND	USA								1	084	084	08	2	7.0	10	1	10	-4	0								0								0								20250909024500	https://www.kxl.com/multnomah-county-chair-calls-for-release-of-library-security-footage-of-august-incident/
1262035115	20250810	202508	2025	2025.6027	MED	MEDIA						MED													1	0874	087	08	2	10.0	3	1	3	-9.32515337423316	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	0								3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	20250909024500	https://www.yahoo.com/news/articles/trump-says-democrats-blood-hands-000242977.html
1262035116	20250810	202508	2025	2025.6027	MED	MEDIA						MED			USA	UNITED STATES	USA								1	0874	087	08	2	10.0	2	1	2	-9.32515337423316	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	20250909024500	https://www.yahoo.com/news/articles/trump-says-democrats-blood-hands-000242977.html
1262035117	20250810	202508	2025	2025.6027	USA	HOUSTON	USA																		0	012	012	01	1	-0.4	2	1	2	-9.61038961038956	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20250909024500	https://www.thehindu.com/news/international/trump-administration-launches-immigration-raids-in-chicago/article70028309.ece
1262035118	20250810	202508	2025	2025.6027	USA	HOUSTON	USA								CRM	GANG						CRM			0	173	173	17	4	-5.0	2	1	2	-9.61038961038956	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250909024500	https://www.thehindu.com/news/international/trump-administration-launches-immigration-raids-in-chicago/article70028309.ece
1262035119	20250810	202508	2025	2025.6027	USA	WISCONSIN	USA								USAGOV	UNITED STATES	USA					GOV			0	012	012	01	1	-0.4	2	1	2	-2.23776223776223	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20250909024500	https://www.wpr.org/news/wisconsin-businesses-reprieve-strict-smog-regulations-court
1262035120	20250810	202508	2025	2025.6027	USAGOV	UNITED STATES	USA					GOV			USA	UNITED STATES	USA								1	111	111	11	3	-2.0	2	1	2	-9.32515337423316	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	3	Charlotte, North Carolina, United States	US	USNC	NC119	35.2271	-80.8431	1019610	20250909024500	https://www.yahoo.com/news/articles/trump-says-democrats-blood-hands-000242977.html
1262035121	20250902	202509	2025	2025.6630	CVL	RESIDENTS						CVL			JUD	PROSECUTOR						JUD			1	036	036	03	1	4.0	10	1	10	0	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250909024500	https://www.yahoo.com/news/articles/nominees-next-spokane-county-prosecutor-020500482.html
1262035122	20250902	202509	2025	2025.6630	EDU	PROFESSOR						EDU			GOV	GOVERNMENT						GOV			1	173	173	17	4	-5.0	6	1	6	-12.1621621621622	3	El Paso, Texas, United States	US	USTX	TX141	31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	20250909024500	https://kvia.com/news/abc-7-alert-center/2025/09/06/associate-professor-government-watchdog-max-grossman-arrested/
1262035123	20250902	202509	2025	2025.6630	EDU	PROFESSOR						EDU			GOV	GOVERNMENT						GOV			1	180	180	18	4	-9.0	6	1	6	-12.1621621621622	3	El Paso, Texas, United States	US	USTX	TX141	31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	20250909024500	https://kvia.com/news/abc-7-alert-center/2025/09/06/associate-professor-government-watchdog-max-grossman-arrested/
1262035124	20250902	202509	2025	2025.6630	EDU	PROFESSOR						EDU			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	4	1	4	-12.1621621621622	3	El Paso, Texas, United States	US	USTX	TX141	31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	20250909024500	https://kvia.com/news/abc-7-alert-center/2025/09/06/associate-professor-government-watchdog-max-grossman-arrested/
1262035125	20250902	202509	2025	2025.6630	EDU	PROFESSOR						EDU			USA	UNITED STATES	USA								1	180	180	18	4	-9.0	4	1	4	-12.1621621621622	3	El Paso, Texas, United States	US	USTX	TX141	31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	20250909024500	https://kvia.com/news/abc-7-alert-center/2025/09/06/associate-professor-government-watchdog-max-grossman-arrested/
1262035126	20250902	202509	2025	2025.6630	GOV	GOVERNMENT						GOV			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	4	1	4	-12.1621621621622	3	El Paso, Texas, United States	US	USTX	TX141	31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	20250909024500	https://kvia.com/news/abc-7-alert-center/2025/09/06/associate-professor-government-watchdog-max-grossman-arrested/
1262035127	20250902	202509	2025	2025.6630	GOV	GOVERNMENT						GOV			USA	UNITED STATES	USA								1	180	180	18	4	-9.0	4	1	4	-12.1621621621622	3	El Paso, Texas, United States	US	USTX	TX141	31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	20250909024500	https://kvia.com/news/abc-7-alert-center/2025/09/06/associate-professor-government-watchdog-max-grossman-arrested/
1262035128	20250902	202509	2025	2025.6630	JUD	PROSECUTOR						JUD			CVL	RESIDENTS						CVL			1	036	036	03	1	4.0	10	1	10	0	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20250909024500	https://www.yahoo.com/news/articles/nominees-next-spokane-county-prosecutor-020500482.html
1262035129	20250902	202509	2025	2025.6630	KWT	KUWAIT	KWT								MNCUSA	BLACKROCK	USA					MNC			1	020	020	02	1	3.0	2	1	2	0	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25307	25.2867	51.5333	-785169	1	Kuwait	KU	KU		29.5	47.75	KU	1	Kuwait	KU	KU		29.5	47.75	KU	20250909024500	https://www.dealstreetasia.com/stories/blackrock-to-open-kuwait-office-455513
1262035130	20250902	202509	2025	2025.6630	KWT	KUWAIT	KWT								MNCUSA	BLACKROCK	USA					MNC			1	020	020	02	1	3.0	8	1	8	0	1	Kuwait	KU	KU		29.5	47.75	KU	1	Kuwait	KU	KU		29.5	47.75	KU	1	Kuwait	KU	KU		29.5	47.75	KU	20250909024500	https://www.dealstreetasia.com/stories/blackrock-to-open-kuwait-office-455513
1262035131	20250902	202509	2025	2025.6630	MNCKOR	HYUNDAI	KOR					MNC			LAB	WORKER						LAB			0	112	112	11	3	-2.0	2	1	2	-5.27472527472527	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	1	South Korea	KS	KS		37	127.5	KS	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250909024500	https://www.zerohedge.com/political/border-czar-says-ice-will-target-more-businesses-after-enforcement-operation-hyundai
1262035132	20250902	202509	2025	2025.6630	MNCKOR	HYUNDAI	KOR					MNC			LAB	WORKER						LAB			0	112	112	11	3	-2.0	8	1	8	-5.27472527472527	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20250909024500	https://www.zerohedge.com/political/border-czar-says-ice-will-target-more-businesses-after-enforcement-operation-hyundai
1262035133	20250908	202509	2025	2025.6795	GOVEDU	DEPARTMENT OF EDUCATION						GOV	EDU		EDU	UNIVERSITY						EDU			0	090	090	09	2	-2.0	2	1	2	-4.07960199004976	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	20250909024500	https://dailytrust.com/jamb-panel-examination-malpractice-becoming-normal/
1262035134	20250908	202509	2025	2025.6795	GOVEDU	DEPARTMENT OF EDUCATION						GOV	EDU		NGA	NIGERIA	NGA								0	090	090	09	2	-2.0	6	1	6	-4.07960199004976	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	20250909024500	https://dailytrust.com/jamb-panel-examination-malpractice-becoming-normal/
1262035135	20250908	202509	2025	2025.6795	NGA	NIGERIA	NGA								EDU	UNIVERSITY						EDU			0	090	090	09	2	-2.0	2	1	2	-4.07960199004976	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	4	Bauchi, Bauchi, Nigeria	NI	NI46	22661	10.3134	9.84327	-2002330	20250909024500	https://dailytrust.com/jamb-panel-examination-malpractice-becoming-normal/
1262035136	20250909	202509	2025	2025.6822											AFR	AFRICA	AFR								0	040	040	04	1	1.0	5	1	5	-0.68259385665529	0								4	Bandung, Jawa Barat, Indonesia	ID	ID30	18585	-6.90389	107.619	-2671576	4	Bandung, Jawa Barat, Indonesia	ID	ID30	18585	-6.90389	107.619	-2671576	20250909024500	https://www.newsghana.com.gh/asia-africa-legal-body-opens-63rd-session-in-kampala/
1262035137	20250909	202509	2025	2025.6822											ARE	DUBAI	ARE								1	043	043	04	1	2.8	10	1	10	-8.99280575539568	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250909024500	https://www.ynetnews.com/article/rymp6gpqle
1262035138	20250909	202509	2025	2025.6822											ARG	ARGENTINA	ARG								1	036	036	03	1	4.0	1	1	1	-2.74314214463841	0								4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	20250909024500	https://buenosairesherald.com/politics/government-announces-political-desk-will-call-governors-to-dialogue
1262035139	20250909	202509	2025	2025.6822											ARGGOV	ARGENTINA	ARG					GOV			1	042	042	04	1	1.9	1	1	1	-2.74314214463841	0								4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	4	Buenos Aires, Distrito Federal, Argentina	AR	AR07	22379	-34.5875	-58.6725	-979186	20250909024500	https://buenosairesherald.com/politics/government-announces-political-desk-will-call-governors-to-dialogue
1262035140	20250909	202509	2025	2025.6822											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	10	1	10	0	0								4	Eucla, Western Australia, Australia	AS	AS08	5476	-31.7167	128.867	-1572534	4	Eucla, Western Australia, Australia	AS	AS08	5476	-31.7167	128.867	-1572534	20250909024500	https://www.perthnow.com.au/news/heavy-rain-thunderstorms-and-snow-expected-as-powerful-weather-system-sweeps-the-nation-c-19959409
1262035141	20250909	202509	2025	2025.6822											AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	6	1	6	6.54205607476636	0								4	Goulburn, New South Wales, Australia	AS	AS02	154641	-34.7515	149.721	-1576139	4	Goulburn, New South Wales, Australia	AS	AS02	154641	-34.7515	149.721	-1576139	20250909024500	https://www.goulburnpost.com.au/story/8979526/ultimate-travel-guide-to-albury-wodonga/
1262035142	20250909	202509	2025	2025.6822											AUS	AUSTRALIA	AUS								1	061	061	06	2	6.4	7	1	7	0.12820512820512	0								4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20250909024500	https://www.smh.com.au/national/raewyn-s-groundbreaking-work-changed-how-we-think-about-men-its-origins-were-deeply-personal-20250903-p5ms8y.html
1262035143	20250909	202509	2025	2025.6822											AUS	AUSTRALIA	AUS								1	061	061	06	2	6.4	3	1	3	0.12820512820512	0								1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20250909024500	https://www.smh.com.au/national/raewyn-s-groundbreaking-work-changed-how-we-think-about-men-its-origins-were-deeply-personal-20250903-p5ms8y.html
1262035144	20250909	202509	2025	2025.6822											AUS	AUSTRALIA	AUS								0	112	112	11	3	-2.0	8	2	8	-11.1324649791103	0								4	Moore Park, Queensland, Australia	AS	AS04	154684	-24.7155	152.276	11430539	4	Moore Park, Queensland, Australia	AS	AS04	154684	-24.7155	152.276	11430539	20250909024500	https://www.goulburnpost.com.au/story/9061175/night-stalker-serial-rapist-accused-ready-to-plead/
1262035145	20250909	202509	2025	2025.6822											AUS	AUSTRALIA	AUS								0	180	180	18	4	-9.0	8	2	8	-11.1324649791103	0								4	Moore Park, Queensland, Australia	AS	AS04	154684	-24.7155	152.276	11430539	4	Moore Park, Queensland, Australia	AS	AS04	154684	-24.7155	152.276	11430539	20250909024500	https://www.goulburnpost.com.au/story/9061175/night-stalker-serial-rapist-accused-ready-to-plead/
1262035146	20250909	202509	2025	2025.6822											AUSGOV	AUSTRALIA	AUS					GOV			0	051	051	05	1	3.4	2	1	2	-1.74278846153846	0								4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	4	Adelaide, South Australia, Australia	AS	AS05	5256	-34.9333	138.6	-1555188	20250909024500	https://www.houstonpublicmedia.org/npr/2025/09/08/nx-s1-5534435/rupert-murdoch-buys-out-3-of-his-children-to-seal-fate-of-his-media-empire/
1262035147	20250909	202509	2025	2025.6822											BLZ	BELIZE	BLZ								1	042	042	04	1	1.9	10	1	10	-14.1592920353982	0								0								0								20250909024500	https://www.greaterbelize.com/toddler-dies-en-route-for-care-opposition-blames-system/
1262035148	20250909	202509	2025	2025.6822											BUS	COMPANY						BUS			1	020	020	02	1	3.0	10	1	10	-2.62216924910608	0								3	Dauphin County, Pennsylvania, United States	US	USPA		40.6279	-76.7525	1213667	3	Dauphin County, Pennsylvania, United States	US	USPA		40.6279	-76.7525	1213667	20250909024500	https://www.wgal.com/article/susquehanna-township-families-express-frustration-school-bus-driver-shortage/66018310
1262035149	20250909	202509	2025	2025.6822											BUS	INVESTOR						BUS			1	040	040	04	1	1.0	5	1	5	1.8957345971564	0								4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	4	Algiers, Alger, Algeria	AG	AG01	37774	36.7631	3.05056	-458371	20250909024500	https://www.newsghana.com.gh/africa-eyes-energy-food-security-at-trade-summit/
1262035150	20250909	202509	2025	2025.6822											BUS	BUSINESS LEADER						BUS			1	040	040	04	1	1.0	6	1	6	3.27455919395466	0								4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	4	Valencia, Carabobo, Venezuela	VE	VE07	31933	10.1806	-68.0039	-960192	20250909024500	https://signalscv.com/2025/09/whitesides-talks-business-housing-wildfire-resilience-at-congressional-forum/
1262035151	20250909	202509	2025	2025.6822											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	10	1	10	-2.30547550432277	0								1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20250909024500	https://www.reseller.co.nz/article/4053296/gartner-symposium-ai-job-bloodbath-is-not-a-reality-2.html
1262035152	20250909	202509	2025	2025.6822											BUS	INVESTOR						BUS			1	084	084	08	2	7.0	5	1	5	-8.96739130434783	0								0								0								20250909024500	https://www.wgal.com/article/lancaster-county-man-released-bail-amid-ponzi-scheme-accusations/66016712
1262035153	20250909	202509	2025	2025.6822											BUS	BANK						BUS			0	112	112	11	3	-2.0	10	1	10	-2.09302325581396	0								4	Goulburn, New South Wales, Australia	AS	AS02	154641	-34.7515	149.721	-1576139	4	Goulburn, New South Wales, Australia	AS	AS02	154641	-34.7515	149.721	-1576139	20250909024500	https://www.goulburnpost.com.au/story/9061288/anz-cuts-3500-jobs-by-2026-in-difficult-restructuring-push/
1262035154	20250909	202509	2025	2025.6822											CAN	CANADA	CAN								1	051	051	05	1	3.4	8	1	8	2.07253886010362	0								4	Strathcona, Alberta, Canada	CA	CA01	154724	53.5833	-113.167	-574245	4	Strathcona, Alberta, Canada	CA	CA01	154724	53.5833	-113.167	-574245	20250909024500	https://www.campbellrivermirror.com/local-news/quadra-island-talk-to-feature-renown-earthquake-expert-8239309
1262035155	20250909	202509	2025	2025.6822											COP	POLICE						COP			1	020	020	02	1	3.0	10	1	10	-9.75103734439835	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250909024500	https://www.nwitimes.com/news/local/crime-courts/article_cf4b8c56-28c6-444c-9a26-d7d776224acc.html
1262035156	20250909	202509	2025	2025.6822											COP	POLICE						COP			1	043	043	04	1	2.8	10	1	10	-9.75103734439835	0								1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20250909024500	https://www.nwitimes.com/news/local/crime-courts/article_cf4b8c56-28c6-444c-9a26-d7d776224acc.html
1262035157	20250909	202509	2025	2025.6822											COP	POLICE						COP			1	084	084	08	2	7.0	3	1	3	-8.8235294117647	0								3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	3	El Paso, Texas, United States	US	USTX		31.7587	-106.487	1380946	20250909024500	https://kvia.com/news/el-paso/2025/09/08/northeast-el-paso-couple-arrested-for-alleged-animal-cruelty/
