1267709673	20151012	201510	2015	2015.7726	VNM	VIETNAM	VNM								LAO	LAOS	LAO								1	051	051	05	1	3.4	2	1	2	11.4864864864865	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20251009171500	https://en.vietnamplus.vn/vietnam-laos-strengthen-cooperation-across-multiple-fields-post330146.vnp
1267709684	20250909	202509	2025	2025.6822	COP	NATIONAL POLICE						COP													1	010	010	01	1	0.0	2	1	2	-7.37913486005089	4	Madlanga, Eastern Cape, South Africa	SF	SF05	77353	-30.9821	29.2626	-1255482	0								4	Madlanga, Eastern Cape, South Africa	SF	SF05	77353	-30.9821	29.2626	-1255482	20251009171500	https://sundayworld.co.za/news/saps-unaware-of-top-cop-shadrack-sibiyas-arrest-says-spokesperson/
1267709685	20250909	202509	2025	2025.6822	COP	NATIONAL POLICE						COP			AFR	AFRICA	AFR								1	010	010	01	1	0.0	4	1	4	-7.37913486005089	4	Madlanga, Eastern Cape, South Africa	SF	SF05	77353	-30.9821	29.2626	-1255482	4	Madlanga, Eastern Cape, South Africa	SF	SF05	77353	-30.9821	29.2626	-1255482	4	Madlanga, Eastern Cape, South Africa	SF	SF05	77353	-30.9821	29.2626	-1255482	20251009171500	https://sundayworld.co.za/news/saps-unaware-of-top-cop-shadrack-sibiyas-arrest-says-spokesperson/
1267709686	20250909	202509	2025	2025.6822	GBR	BIRMINGHAM	GBR																		0	020	020	02	1	3.0	3	1	3	-0.29673590504451	1	Ireland	EI	EI		53	-8	EI	0								1	Ireland	EI	EI		53	-8	EI	20251009171500	https://www.bbc.com/news/articles/c33rx8ln34vo
1267709687	20250909	202509	2025	2025.6822	TON	TONGA	TON																		1	111	111	11	3	-2.0	5	1	5	-0.11737089201878	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	0								4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20251009171500	https://www.rnz.co.nz/news/political/575480/te-pati-maori-mp-takuta-ferris-taking-our-people-for-fools-labour-s-peeni-henare-says
1267709688	20250909	202509	2025	2025.6822	USA	ST. LOUIS	USA								BUS	COMPANY						BUS			1	014	014	01	1	0.0	10	1	10	-2.71317829457364	1	Germany	GM	GM		51.5	10.5	GM	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20251009171500	https://www.stltoday.com/news/local/business/article_f16f36bd-f219-430f-bfd2-54e5aad16b8b.html
1267709689	20250909	202509	2025	2025.6822	USA	ST. LOUIS	USA								BUS	COMPANY						BUS			1	120	120	12	3	-4.0	6	1	6	-2.71317829457364	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20251009171500	https://www.stltoday.com/news/local/business/article_f16f36bd-f219-430f-bfd2-54e5aad16b8b.html
1267709690	20250909	202509	2025	2025.6822	USA	ST. LOUIS	USA								BUS	COMPANY						BUS			1	120	120	12	3	-4.0	4	1	4	-2.71317829457364	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20251009171500	https://www.stltoday.com/news/local/business/article_f16f36bd-f219-430f-bfd2-54e5aad16b8b.html
1267709691	20250909	202509	2025	2025.6822	USA	OKLAHOMA	USA								GOV	AUTHORITIES						GOV			1	080	080	08	2	5.0	4	1	4	-11.8421052631579	3	Warrenton, Oregon, United States	US	USOR	OR007	46.1651	-123.924	1136879	3	Warrenton, Oregon, United States	US	USOR	OR007	46.1651	-123.924	1136879	3	Warrenton, Oregon, United States	US	USOR	OR007	46.1651	-123.924	1136879	20251009171500	https://www.kten.com/news/oklahoma-headlines/durant-domestic-violence-suspect-arrested-in-oregon/article_80ef44a3-180c-4ffd-a7a1-c512414eef24.html
1267709692	20250909	202509	2025	2025.6822	USA	OKLAHOMA	USA								GOV	AUTHORITIES						GOV			1	080	080	08	2	5.0	6	1	6	-11.8421052631579	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	2	California, United States	US	USCA		36.17	-119.746	CA	20251009171500	https://www.kten.com/news/oklahoma-headlines/durant-domestic-violence-suspect-arrested-in-oregon/article_80ef44a3-180c-4ffd-a7a1-c512414eef24.html
1267709693	20250909	202509	2025	2025.6822	USA	DALLAS	USA								MED	MEDIA						MED			0	160	160	16	4	-4.0	8	1	8	-3.89755011135858	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20251009171500	https://www.dallasobserver.com/news/dallas-schools-unaware-of-investigation-into-charlie-kirk-posts-40603689/
1267709694	20250909	202509	2025	2025.6822	USA	UNITED STATES	USA								MED	MEDIA						MED			0	160	160	16	4	-4.0	2	1	2	-3.89755011135858	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	2	Texas, United States	US	USTX		31.106	-97.6475	TX	3	Dallas, Texas, United States	US	USTX	TX113	32.7831	-96.8067	1380944	20251009171500	https://www.dallasobserver.com/news/dallas-schools-unaware-of-investigation-into-charlie-kirk-posts-40603689/
1267709695	20251002	202510	2025	2025.7452	CVL	MIGRANT						CVL			GOV	GOVERNMENT						GOV			1	111	111	11	3	-2.0	10	1	10	-9.99999999999997	0								0								0								20251009171500	https://www.texasobserver.org/author/arman-deendar/
1267709696	20251002	202510	2025	2025.7452	GBR	BIRMINGHAM	GBR								OPP	ACTIVIST						OPP			0	112	112	11	3	-2.0	10	1	10	-0.29673590504451	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	1	Ireland	EI	EI		53	-8	EI	20251009171500	https://www.bbc.com/news/articles/c33rx8ln34vo
1267709697	20251002	202510	2025	2025.7452	GOV	CHANCELLOR						GOV			EDU	SCHOOL						EDU			1	050	050	05	1	3.5	10	1	10	5.12284370099321	5	Warwickshire, Warwickshire, United Kingdom	UK	UKP3	40135	52.3333	-1.58333	-2610946	5	Warwickshire, Warwickshire, United Kingdom	UK	UKP3	40135	52.3333	-1.58333	-2610946	5	Warwickshire, Warwickshire, United Kingdom	UK	UKP3	40135	52.3333	-1.58333	-2610946	20251009171500	https://www.miragenews.com/175-years-since-public-libraries-act-1548902/
1267709698	20251002	202510	2025	2025.7452	ISR	ISRAEL	ISR								PSE	GAZA	PSE								1	037	037	03	1	5.0	2	1	2	4.38247011952191	3	Los Angeles, California, United States	US	USCA	CA037	34.0522	-118.244	1662328	4	Oslo, Oslo, Norway	NO	NO12	23413	59.9167	10.75	-273837	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20251009171500	https://www.nbclosangeles.com/news/national-international/trump-nobel-peace-prize/3789027/
1267709699	20251002	202510	2025	2025.7452	ISR	ISRAEL	ISR								PSE	GAZA	PSE								1	037	037	03	1	5.0	2	1	2	4.38247011952191	3	Los Angeles, California, United States	US	USCA	CA037	34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	3	Los Angeles, California, United States	US	USCA		34.0522	-118.244	1662328	20251009171500	https://www.nbclosangeles.com/news/national-international/trump-nobel-peace-prize/3789027/
1267709700	20251002	202510	2025	2025.7452	PSE	GAZA	PSE								ISR	ISRAEL	ISR								1	043	043	04	1	2.8	1	1	1	-1.57232704402516	1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20251009171500	https://timesofindia.indiatimes.com/world/us/we-ended-war-in-gaza-donald-trump-says-hostages-to-be-released-next-week-gaza-peace-plan-to-be-signed-in-egypt/articleshow/124428240.cms
1267709701	20251002	202510	2025	2025.7452	PSE	GAZA	PSE								ISR	ISRAEL	ISR								1	043	043	04	1	2.8	1	1	1	-1.57232704402516	1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	1	Egypt	EG	EG		27	30	EG	20251009171500	https://timesofindia.indiatimes.com/world/us/we-ended-war-in-gaza-donald-trump-says-hostages-to-be-released-next-week-gaza-peace-plan-to-be-signed-in-egypt/articleshow/124428240.cms
1267709702	20251002	202510	2025	2025.7452	USA	UNITED STATES	USA								GOV	CABINET						GOV			1	0841	084	08	2	7.0	4	1	4	0	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251009171500	https://www.israelnationalnews.com/flashes/668008
1267709703	20251002	202510	2025	2025.7452	USA	MONTANA	USA								USAAGR	MONTANA	USA					AGR			1	046	046	04	1	7.0	8	1	8	-6.9377990430622	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	20251009171500	https://www.havredailynews.com/story/2025/10/09/local/montana-grain-growers-association-opposes-government-shutdown/548554.html
1267709704	20251002	202510	2025	2025.7452	USAAGR	MONTANA	USA					AGR			USA	MONTANA	USA								1	046	046	04	1	7.0	8	1	8	-6.9377990430622	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	2	Montana, United States	US	USMT		46.9048	-110.326	MT	20251009171500	https://www.havredailynews.com/story/2025/10/09/local/montana-grain-growers-association-opposes-government-shutdown/548554.html
1267709705	20251002	202510	2025	2025.7452	USAGOV	THE WHITE HOUSE	USA					GOV			GOV	CABINET						GOV			1	0841	084	08	2	7.0	2	1	2	0	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251009171500	https://www.israelnationalnews.com/flashes/668008
1267709706	20251002	202510	2025	2025.7452	USAGOV	THE WHITE HOUSE	USA					GOV			USA	UNITED STATES	USA								1	0841	084	08	2	7.0	4	1	4	0	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20251009171500	https://www.israelnationalnews.com/flashes/668008
1267709707	20251008	202510	2025	2025.7616	GOVEDU	EDUCATION SECRETARY						GOV	EDU		PHL	PHILIPPINE	PHL								1	020	020	02	1	3.0	8	1	8	2.45098039215686	4	Cauayan, Camarines Sur, Philippines	RP	RP16	24242	13.583	122.886	-2421660	4	Cauayan, Camarines Sur, Philippines	RP	RP16	24242	13.583	122.886	-2421660	4	Cauayan, Camarines Sur, Philippines	RP	RP16	24242	13.583	122.886	-2421660	20251009171500	https://www.philstar.com/headlines/2025/10/10/2478739/deped-give-shs-grads-fighting-chance-jobs
1267709708	20251008	202510	2025	2025.7616	ISR	ISRAELI	ISR																		1	190	190	19	4	-10.0	2	1	2	-0.75	4	Fetlar, Shetland Islands, United Kingdom	UK	UKW3	40175	60.6167	-0.866667	-2596112	0								4	Fetlar, Shetland Islands, United Kingdom	UK	UKW3	40175	60.6167	-0.866667	-2596112	20251009171500	https://www.shetlandtimes.co.uk/news/fetlar-woman-fears-for-friend-after-freedom-flotilla-inter-416326/
1267709709	20251008	202510	2025	2025.7616	ISR	ISRAELI	ISR								ISRMIL	ISRAEL	ISR					MIL			1	190	190	19	4	-10.0	2	1	2	-0.75	4	Fetlar, Shetland Islands, United Kingdom	UK	UKW3	40175	60.6167	-0.866667	-2596112	4	Fetlar, Shetland Islands, United Kingdom	UK	UKW3	40175	60.6167	-0.866667	-2596112	4	Fetlar, Shetland Islands, United Kingdom	UK	UKW3	40175	60.6167	-0.866667	-2596112	20251009171500	https://www.shetlandtimes.co.uk/news/fetlar-woman-fears-for-friend-after-freedom-flotilla-inter-416326/
1267709710	20251008	202510	2025	2025.7616	ISRMIL	ISRAELI	ISR					MIL													1	190	190	19	4	-10.0	6	1	6	-0.75	4	Lesvos, Perifereia Voreiou Aigaiou, Greece	GR	GR65	16725	39.1667	26.25	-822201	0								4	Lesvos, Perifereia Voreiou Aigaiou, Greece	GR	GR65	16725	39.1667	26.25	-822201	20251009171500	https://www.shetlandtimes.co.uk/news/fetlar-woman-fears-for-friend-after-freedom-flotilla-inter-416326/
1267709711	20251008	202510	2025	2025.7616	JUD	COUNSEL						JUD													0	010	010	01	1	0.0	10	1	10	-1.16448326055313	5	State Of Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	0								5	State Of Karnataka, Karnataka, India	IN	IN19	17688	13.5	76	-2099860	20251009171500	https://www.barandbench.com/news/karnataka-high-court-questions-bci-restrictions-on-retired-district-judges-law-practice
1267709712	20251008	202510	2025	2025.7616	PHLGOVEDU	PHILIPPINE	PHL					GOV	EDU		PHL	PHILIPPINE	PHL								1	020	020	02	1	3.0	2	1	2	2.45098039215686	4	Cauayan, Camarines Sur, Philippines	RP	RP16	24242	13.583	122.886	-2421660	4	Cauayan, Camarines Sur, Philippines	RP	RP16	24242	13.583	122.886	-2421660	4	Cauayan, Camarines Sur, Philippines	RP	RP16	24242	13.583	122.886	-2421660	20251009171500	https://www.philstar.com/headlines/2025/10/10/2478739/deped-give-shs-grads-fighting-chance-jobs
1267709713	20251009	202510	2025	2025.7644											AFR	AFRICA	AFR								1	173	173	17	4	-5.0	4	1	4	-7.37913486005089	0								4	Madlanga, Eastern Cape, South Africa	SF	SF05	77353	-30.9821	29.2626	-1255482	4	Madlanga, Eastern Cape, South Africa	SF	SF05	77353	-30.9821	29.2626	-1255482	20251009171500	https://sundayworld.co.za/news/saps-unaware-of-top-cop-shadrack-sibiyas-arrest-says-spokesperson/
1267709714	20251009	202510	2025	2025.7644											AGR	FARMER						AGR			1	043	043	04	1	2.8	5	1	5	4.09181636726546	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20251009171500	https://thenorthlines.com/new-gst-rates-in-the-agriculture-sector-a-blessing-for-farmers/
1267709715	20251009	202510	2025	2025.7644											ALB	ALBANIA	ALB								1	173	173	17	4	-5.0	1	1	1	7.14285714285714	0								1	Albania	AL	AL		41	20	AL	1	Albania	AL	AL		41	20	AL	20251009171500	https://www.gazetaexpress.com/en/Albania-writes-history-unum-festival-wins-the-award-for-best-global-festival-2025/
1267709716	20251009	202510	2025	2025.7644											AZE	AZERBAIJAN	AZE								1	042	042	04	1	1.9	8	1	8	1.88679245283019	0								4	Khojaly, Xocali, Azerbaijan	AJ	AJ64	488	39.913	46.7903	-2707002	4	Khojaly, Xocali, Azerbaijan	AJ	AJ64	488	39.913	46.7903	-2707002	20251009171500	https://www.trend.az/azerbaijan/society/4101862.html
1267709717	20251009	202510	2025	2025.7644											AZEGOVAGR	AZERBAIJANI	AZE					GOV	AGR		1	040	040	04	1	1.0	3	1	3	6.41025641025641	0								1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	1	Azerbaijan	AJ	AJ		40.5	47.5	AJ	20251009171500	https://news.az/news/azerbaijan-and-germany-discuss-cooperation-prospects-in-agriculture
1267709718	20251009	202510	2025	2025.7644											BRAGOV	BRAZILIAN	BRA					GOV			1	036	036	03	1	4.0	24	4	24	-1.1037527593819	0								4	Belem, ParáR, Brazil	BR	BR16	18585	-1.45	-48.4833	-629039	4	Belem, ParáR, Brazil	BR	BR16	18585	-1.45	-48.4833	-629039	20251009171500	https://www.baltimoresun.com/2025/10/09/rubio-brazil-tariffs/
1267709719	20251009	202510	2025	2025.7644											BUS	BUSINESS						BUS			1	010	010	01	1	0.0	10	1	10	8.16326530612245	0								1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20251009171500	https://www.meed.com:443/chinese-firm-to-build-turaif-solar-plant
1267709720	20251009	202510	2025	2025.7644											BUS	BUSINESS						BUS			1	036	036	03	1	4.0	10	1	10	-1.69491525423729	0								3	Columbus, Ohio, United States	US	USOH	OH049	39.9612	-82.9988	1080996	3	Columbus, Ohio, United States	US	USOH	OH049	39.9612	-82.9988	1080996	20251009171500	https://abc6onyourside.com/news/local/columbus-humane-to-host-19th-annual-defend-your-friend-5k-this-saturday-dogs-adopt-animal-cruelty-support-rehabilitation-rescued
1267709721	20251009	202510	2025	2025.7644											BUS	BANK						BUS			0	040	040	04	1	1.0	25	1	10	0.4381161007667	0								3	Biwabik, Minnesota, United States	US	USMN	MN137	47.533	-92.3402	660819	3	Biwabik, Minnesota, United States	US	USMN	MN137	47.533	-92.3402	660819	20251009171500	http://www.timberjay.com/stories/clerk-treasurer-schultz-resigns-for-new-job-in-biwabik,23562
1267709722	20251009	202510	2025	2025.7644											BUS	BANK						BUS			1	042	042	04	1	1.9	10	1	10	1.96078431372549	0								3	Fort Sill, Oklahoma, United States	US	USOK		34.6814	-98.5193	2512221	3	Fort Sill, Oklahoma, United States	US	USOK		34.6814	-98.5193	2512221	20251009171500	https://z94.com/ixp/127/p/lawton-food-bank-soldiers-government/
1267709723	20251009	202510	2025	2025.7644											BUS	BUSINESS						BUS			0	042	042	04	1	1.9	10	1	10	5.359477124183	0								1	Qatar	QA	QA		25.5	51.25	QA	1	Qatar	QA	QA		25.5	51.25	QA	20251009171500	https://www.ttnworldwide.com:443/ArticleTA/329092/IBTM-@-ATM-returns-in-2026,-spotlighting-global-business-events
1267709724	20251009	202510	2025	2025.7644											BUS	BUSINESS						BUS			1	043	043	04	1	2.8	10	1	10	0	0								4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	4	Stockholm, Stockholm, Sweden	SW	SW26	26170	59.3333	18.05	-2524279	20251009171500	https://www.computerweekly.com/news/366632615/Infor-debuts-AI-agents-to-tackle-industry-specific-tasks
1267709725	20251009	202510	2025	2025.7644											BUS	AUTOMAKER						BUS			1	043	043	04	1	2.8	7	1	7	0.86330935251798	0								4	Pontiac, Quebec, Canada	CA	CA10	12778	46.75	-77	-571493	4	Pontiac, Quebec, Canada	CA	CA10	12778	46.75	-77	-571493	20251009171500	https://carbuzz.com/1975-pontiac-astre-lil-wide-track-history/
1267709726	20251009	202510	2025	2025.7644											BUS	BANK						BUS			0	046	046	04	1	7.0	20	1	10	0.4381161007667	0								3	Biwabik, Minnesota, United States	US	USMN	MN137	47.533	-92.3402	660819	3	Biwabik, Minnesota, United States	US	USMN	MN137	47.533	-92.3402	660819	20251009171500	http://www.timberjay.com/stories/clerk-treasurer-schultz-resigns-for-new-job-in-biwabik,23562
1267709727	20251009	202510	2025	2025.7644											BUS	INVESTOR						BUS			1	060	060	06	2	6.0	10	1	10	-2.39651416122005	0								3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	3	Denver, Colorado, United States	US	USCO	CO031	39.7392	-104.985	201738	20251009171500	https://lancasteronline.com/news/health/addiction-treatment-chain-plans-to-open-ephrata-location-at-former-retreat-behavioral-facility-site/article_7be04c8a-0eca-40ec-8873-ceae562f3ca6.html
1267709728	20251009	202510	2025	2025.7644											BUS	BANK						BUS			0	0874	087	08	2	10.0	20	2	20	-1.0872331373479	0								4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	4	Hyderabad, Andhra Pradesh, India	IN	IN02	17564	17.3753	78.4744	-2097701	20251009171500	https://dominicanrepublicpost.com/starmer-meets-modi-what-the-uk-can-learn-from-indias-digital-ids/
1267709729	20251009	202510	2025	2025.7644											CAN	CANADA	CAN								1	042	042	04	1	1.9	6	1	6	2.08078335373317	0								4	Markdale, Ontario, Canada	CA	CA08	12652	44.3167	-80.65	-568751	4	Markdale, Ontario, Canada	CA	CA08	12652	44.3167	-80.65	-568751	20251009171500	https://www.pentictonherald.ca/spare_news/article_a82fa271-a890-5a26-842b-68a107dea379.html
1267709730	20251009	202510	2025	2025.7644											CAN	CANADA	CAN								1	051	051	05	1	3.4	10	1	10	3.40909090909091	0								4	Waterloo, Ontario, Canada	CA	CA08	12688	43.4667	-80.5333	-575624	4	Waterloo, Ontario, Canada	CA	CA08	12688	43.4667	-80.5333	-575624	20251009171500	https://www.pentictonherald.ca/spare_news/article_9b3cdada-371f-5ac8-becb-cb10dff79ce1.html
1267709731	20251009	202510	2025	2025.7644											CAN	VANCOUVER	CAN								1	111	111	11	3	-2.0	4	1	4	-2.42261103633917	0								4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20251009171500	https://www.dailymail.co.uk/news/article-15177235/harry-potter-jk-rowling-transgender-vancouver.html
1267709732	20251009	202510	2025	2025.7644											CANLEG	VANCOUVER	CAN					LEG			1	111	111	11	3	-2.0	6	1	6	-2.42261103633917	0								4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20251009171500	https://www.dailymail.co.uk/news/article-15177235/harry-potter-jk-rowling-transgender-vancouver.html
1267709733	20251009	202510	2025	2025.7644											COP	POLICE						COP			0	043	043	04	1	2.8	10	1	10	-0.22701475595914	0								4	Caledon, Ontario, Canada	CA	CA08	12688	43.8667	-80	-561984	4	Caledon, Ontario, Canada	CA	CA08	12688	43.8667	-80	-561984	20251009171500	https://caledoncitizen.com/free-speech-comes-at-a-price/
1267709734	20251009	202510	2025	2025.7644											COP	POLICE						COP			1	0841	084	08	2	7.0	4	1	4	-3.60824742268041	0								4	Jigawa, Kano, Nigeria	NI	NI29	22847	11.951	7.93842	-2013704	4	Jigawa, Kano, Nigeria	NI	NI29	22847	11.951	7.93842	-2013704	20251009171500	https://dailypost.ng/2025/10/09/man-arrested-in-jigawa-for-alleged-stealing-of-ambulance-from-niger-republic/
1267709735	20251009	202510	2025	2025.7644											COP	POLICE						COP			1	0841	084	08	2	7.0	6	1	6	-3.60824742268041	0								5	Jigawa State, Jigawa, Nigeria	NI	NI39	22669	12	9.75	29625	4	Babura, Jigawa, Nigeria	NI	NI39	191412	12.773	9.01583	-2001378	20251009171500	https://dailypost.ng/2025/10/09/man-arrested-in-jigawa-for-alleged-stealing-of-ambulance-from-niger-republic/
