1263999631	20240919	202409	2024	2024.7096	MIL	LIEUTENANT GENERAL						MIL			RUS	RUSSIA	RUS								0	190	190	19	4	-10.0	2	1	2	-8.72340425531915	4	Saint Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	4	Saint Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	4	Saint Petersburg, Sankt-Peterburg, Russia	RS	RS66	25095	59.8944	30.2642	-2996338	20250919061500	https://www.independent.ie/world-news/europe/babushka-bomber-caught-after-assassination-plot-on-head-of-russian-defence-business/a91213973.html
1263999642	20250820	202508	2025	2025.6301	RUS	RUSSIA	RUS																		1	072	072	07	2	8.3	3	1	3	-1.3215859030837	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	0								1	United States	US	US		39.828175	-98.5795	US	20250919061500	https://www.circlevilleherald.com/news/ukraine-expects-3-5-billion-fund-for-us-weapons-to-sustain-fight-against-russia-zelenskyy/article_1fc0217f-0bd8-4f73-8df0-ebb1c8454fd2.html
1263999643	20250820	202508	2025	2025.6301	RUS	RUSSIA	RUS								UKR	UKRAINIAN	UKR								1	072	072	07	2	8.3	1	1	1	-1.3215859030837	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	1	United States	US	US		39.828175	-98.5795	US	20250919061500	https://www.circlevilleherald.com/news/ukraine-expects-3-5-billion-fund-for-us-weapons-to-sustain-fight-against-russia-zelenskyy/article_1fc0217f-0bd8-4f73-8df0-ebb1c8454fd2.html
1263999644	20250820	202508	2025	2025.6301	RUS	RUSSIA	RUS								UKR	UKRAINIAN	UKR								1	072	072	07	2	8.3	1	1	1	-1.3215859030837	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	United States	US	US		39.828175	-98.5795	US	20250919061500	https://www.circlevilleherald.com/news/ukraine-expects-3-5-billion-fund-for-us-weapons-to-sustain-fight-against-russia-zelenskyy/article_1fc0217f-0bd8-4f73-8df0-ebb1c8454fd2.html
1263999645	20250912	202509	2025	2025.6904	BUS	AIRLINE						BUS													1	020	020	02	1	3.0	3	1	3	-5.98290598290598	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	0								4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20250919061500	https://www.bangkokpost.com/world/3107273/jal-to-impose-pay-cuts-on-37-executives-after-pilot-drinking-episode
1263999646	20250912	202509	2025	2025.6904	GBR	UNITED KINGDOM	GBR								GBRAGR	UNITED KINGDOM	GBR					AGR			0	013	013	01	1	0.4	2	1	2	-3.50690754516471	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20250919061500	https://www.twincities.com/2025/09/18/south-st-paul-shooting-sentence/
1263999647	20250912	202509	2025	2025.6904	GOV	MAYOR						GOV			JOR	JORDAN	JOR								1	042	042	04	1	1.9	8	1	8	5.73248407643312	1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	20250919061500	https://meltonmoorabool.starweekly.com.au/news/aquatic-centre-sod-turned/
1263999648	20250912	202509	2025	2025.6904	JOR	JORDAN	JOR								GOV	MAYOR						GOV			1	043	043	04	1	2.8	8	1	8	5.73248407643312	1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	1	Jordan	JO	JO		31	36	JO	20250919061500	https://meltonmoorabool.starweekly.com.au/news/aquatic-centre-sod-turned/
1263999649	20250912	202509	2025	2025.6904	JPN	JAPAN	JPN																		1	020	020	02	1	3.0	2	1	2	-5.98290598290598	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	20250919061500	https://www.bangkokpost.com/world/3107273/jal-to-impose-pay-cuts-on-37-executives-after-pilot-drinking-episode
1263999650	20250912	202509	2025	2025.6904	JPN	JAPAN	JPN																		1	020	020	02	1	3.0	3	1	3	-5.98290598290598	4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	0								4	Tokyo, Tokyo, Japan	JA	JA40	36340	35.685	139.751	-246227	20250919061500	https://www.bangkokpost.com/world/3107273/jal-to-impose-pay-cuts-on-37-executives-after-pilot-drinking-episode
1263999651	20250912	202509	2025	2025.6904	POL	POLISH	POL								BLR	BELARUS	BLR								0	193	193	19	4	-10.0	1	1	1	-2.1018593371059	1	Belarus	BO	BO		53	28	BO	1	Russia	RS	RS		60	100	RS	1	Russia	RS	RS		60	100	RS	20250919061500	https://infotel.ca/newsitem/world/cp200655763
1263999652	20250918	202509	2025	2025.7068											EDU	STUDENT						EDU			1	042	042	04	1	1.9	1	1	1	2.77777777777778	0								4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	20250919061500	https://leadership.ng/wesley-college-ibadan-95-set-gives-back-to-school/
1263999653	20250918	202509	2025	2025.7068											GBRGOV	UNITED KINGDOM	GBR					GOV			0	043	043	04	1	2.8	4	1	4	-3.55486862442041	0								5	Buckinghamshire, Buckinghamshire, United Kingdom	UK	UKB9	40097	51.75	-0.75	-2591191	5	Buckinghamshire, Buckinghamshire, United Kingdom	UK	UKB9	40097	51.75	-0.75	-2591191	20250919061500	https://www.independent.ie/world-news/britain/president-putin-has-let-me-down-says-donald-trump-as-he-dodges-questions-on-peter-mandelson-link-to-jeffrey-epstein/a2046446345.html
1263999654	20250918	202509	2025	2025.7068											ISRHLH	ISRAEL	ISR					HLH			0	130	130	13	3	-4.4	4	1	4	-5.84958217270195	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250919061500	https://www.independent.ie/world-news/middle-east/this-is-a-sign-something-very-brutal-is-going-to-happen-major-telecoms-outages-in-gaza-as-israeli-forces-advance/a882583314.html
1263999655	20250918	202509	2025	2025.7068											PSEHLH	GAZA	PSE					HLH			0	130	130	13	3	-4.4	2	1	2	-5.84958217270195	0								4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250919061500	https://www.independent.ie/world-news/middle-east/this-is-a-sign-something-very-brutal-is-going-to-happen-major-telecoms-outages-in-gaza-as-israeli-forces-advance/a882583314.html
1263999656	20250918	202509	2025	2025.7068	EDU	STUDENT						EDU													1	043	043	04	1	2.8	1	1	1	2.77777777777778	4	Elekuro, Nigeria (general), Nigeria	NI	NI00	22963	7.13333	3.31667	-2006296	0								4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	20250919061500	https://leadership.ng/wesley-college-ibadan-95-set-gives-back-to-school/
1263999657	20250918	202509	2025	2025.7068	EDU	STUDENT						EDU			NGA	NIGERIA	NGA								1	043	043	04	1	2.8	6	1	6	2.77777777777778	4	Elekuro, Nigeria (general), Nigeria	NI	NI00	22963	7.13333	3.31667	-2006296	4	Elekuro, Nigeria (general), Nigeria	NI	NI00	22963	7.13333	3.31667	-2006296	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	20250919061500	https://leadership.ng/wesley-college-ibadan-95-set-gives-back-to-school/
1263999658	20250918	202509	2025	2025.7068	EDU	STUDENT						EDU			NGA	IBADAN	NGA								1	043	043	04	1	2.8	2	1	2	2.77777777777778	4	Elekuro, Nigeria (general), Nigeria	NI	NI00	22963	7.13333	3.31667	-2006296	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	20250919061500	https://leadership.ng/wesley-college-ibadan-95-set-gives-back-to-school/
1263999659	20250918	202509	2025	2025.7068	EDU	STUDENT						EDU			NGA	NIGERIA	NGA								1	043	043	04	1	2.8	1	1	1	2.77777777777778	4	Elekuro, Nigeria (general), Nigeria	NI	NI00	22963	7.13333	3.31667	-2006296	5	Oyo State, Oyo, Nigeria	NI	NI32	191166	8	4	-2024630	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	20250919061500	https://leadership.ng/wesley-college-ibadan-95-set-gives-back-to-school/
1263999660	20250918	202509	2025	2025.7068	GBRGOV	UNITED KINGDOM	GBR					GOV													0	042	042	04	1	1.9	4	1	4	-3.55486862442041	5	Buckinghamshire, Buckinghamshire, United Kingdom	UK	UKB9	40097	51.75	-0.75	-2591191	0								5	Buckinghamshire, Buckinghamshire, United Kingdom	UK	UKB9	40097	51.75	-0.75	-2591191	20250919061500	https://www.independent.ie/world-news/britain/president-putin-has-let-me-down-says-donald-trump-as-he-dodges-questions-on-peter-mandelson-link-to-jeffrey-epstein/a2046446345.html
1263999661	20250918	202509	2025	2025.7068	ISRHLH	ISRAEL	ISR					HLH			PSE	GAZA	PSE								0	130	130	13	3	-4.4	4	1	4	-5.84958217270195	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250919061500	https://www.independent.ie/world-news/middle-east/this-is-a-sign-something-very-brutal-is-going-to-happen-major-telecoms-outages-in-gaza-as-israeli-forces-advance/a882583314.html
1263999662	20250918	202509	2025	2025.7068	NGA	IBADAN	NGA								EDU	STUDENT						EDU			1	042	042	04	1	1.9	9	1	9	2.77777777777778	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	4	Ibadan, Oyo, Nigeria	NI	NI32	191242	7.38778	3.89639	-2010458	20250919061500	https://leadership.ng/wesley-college-ibadan-95-set-gives-back-to-school/
1263999663	20250919	202509	2025	2025.7096											AGR	FISHER						AGR			0	043	043	04	1	2.8	6	1	6	-3.50690754516471	0								4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	40098	52.2	0.116667	-2591658	20250919061500	https://www.twincities.com/2025/09/18/south-st-paul-shooting-sentence/
1263999664	20250919	202509	2025	2025.7096											ARE	ABU DHABI	ARE								1	040	040	04	1	1.0	6	1	6	3.2258064516129	0								4	Abu Dhabi, Abu Z¸aby, United Arab Emirates	AE	AE01	28568	24.4667	54.3667	-782066	1	India	IN	IN		20	77	IN	20250919061500	https://timesofoman.com/article/162920-india-uae-to-enable-bilateral-trade-in-local-currencies
1263999665	20250919	202509	2025	2025.7096											ARE	ABU DHABI	ARE								1	040	040	04	1	1.0	4	1	4	3.2258064516129	0								1	India	IN	IN		20	77	IN	1	India	IN	IN		20	77	IN	20250919061500	https://timesofoman.com/article/162920-india-uae-to-enable-bilateral-trade-in-local-currencies
1263999666	20250919	202509	2025	2025.7096											AUS	AUSTRALIA	AUS								1	036	036	03	1	4.0	10	1	10	2.50648228176318	0								4	Southern Cross, Victoria, Australia	AS	AS07	5407	-38.3	142.4	-1601296	4	Southern Cross, Victoria, Australia	AS	AS07	5407	-38.3	142.4	-1601296	20250919061500	https://www.juneesoutherncross.com.au/story/9070230/how-agriculture-will-be-key-to-australias-net-zero-future-plan/
1263999667	20250919	202509	2025	2025.7096											AUS	AUSTRALIA	AUS								0	042	042	04	1	1.9	2	1	2	5.57184750733137	0								4	Cobaw, Victoria, Australia	AS	AS07	5399	-37.2667	144.633	-1566076	4	Cobaw, Victoria, Australia	AS	AS07	5399	-37.2667	144.633	-1566076	20250919061500	https://sunburymacedonranges.starweekly.com.au/news/disco-fever/
1263999668	20250919	202509	2025	2025.7096											AUS	AUSTRALIA	AUS								1	043	043	04	1	2.8	2	1	2	4.12087912087912	0								4	Bendigo, Victoria, Australia	AS	AS07	5391	-36.7582	144.28	-1558533	4	Bendigo, Victoria, Australia	AS	AS07	5391	-36.7582	144.28	-1558533	20250919061500	https://www.miragenews.com/hawkei-enhances-critical-capability-1536962/
1263999669	20250919	202509	2025	2025.7096											AUS	MELBOURNE	AUS								1	043	043	04	1	2.8	10	1	10	8.13953488372093	0								4	Melbourne, Victoria, Australia	AS	AS07	5430	-37.8167	144.967	-1586844	4	Diggers Rest, Victoria, Australia	AS	AS07	5397	-37.626	144.719	-1569827	20250919061500	https://meltonmoorabool.starweekly.com.au/news/canola-blooming-in-diggers/
1263999670	20250919	202509	2025	2025.7096											AUS	AUSTRALIA	AUS								0	051	051	05	1	3.4	1	1	1	5.57184750733137	0								4	Cobaw, Victoria, Australia	AS	AS07	5399	-37.2667	144.633	-1566076	4	Cobaw, Victoria, Australia	AS	AS07	5399	-37.2667	144.633	-1566076	20250919061500	https://sunburymacedonranges.starweekly.com.au/news/disco-fever/
1263999671	20250919	202509	2025	2025.7096											AUS	AUSTRALIA	AUS								1	173	173	17	4	-5.0	12	1	4	-5.28052805280528	0								4	Townsville, Queensland, Australia	AS	AS04	40197	-19.2664	146.806	-1605526	4	Townsville, Queensland, Australia	AS	AS04	40197	-19.2664	146.806	-1605526	20250919061500	https://www.perthnow.com.au/news/leeanne-chrysilla-eatts-secures-retrial-convictions-quashed-over-sons-drowning-deaths-in-qld-river-c-20075743
1263999672	20250919	202509	2025	2025.7096											BRA	BRAZIL	BRA								1	030	030	03	1	4.0	10	1	10	-0.58823529411765	0								1	Brazil	BR	BR		-10	-55	BR	1	Greece	GR	GR		39	22	GR	20250919061500	https://athens-times.com/greece-calls-for-realistic-2040-climate-target-urges-eu-flexibility/
1263999673	20250919	202509	2025	2025.7096											BUS	CHAMBER OF COMMERCE						BUS			0	036	036	03	1	4.0	18	1	10	-1.88323917137477	0								1	Spain	SP	SP		40	-4	SP	1	Spain	SP	SP		40	-4	SP	20250919061500	https://www.wjcl.com/article/community-outrage-sparks-as-savannah-hispanic-heritage-parade-cancels/67954428
1263999674	20250919	202509	2025	2025.7096											BUS	BUSINESS						BUS			1	130	130	13	3	-4.4	4	1	4	-2.05882352941176	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20250919061500	https://connachttribune.ie/housing-crisis-leaves-business-under-threat/
1263999675	20250919	202509	2025	2025.7096											CHN	SHENYANG	CHN								0	042	042	04	1	1.9	1	1	1	3.90243902439024	0								4	Shenyang, Liaoning, China	CH	CH19	13177	41.7922	123.433	-1925258	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20250919061500	https://www.manilatimes.net/2025/09/19/tmt-newswire/media-outreach-newswire/hang-lung-celebrates-65th-anniversary-with-throwback-causeway-days-exhibition/2187132
1263999676	20250919	202509	2025	2025.7096											CHN	CHINA	CHN								1	042	042	04	1	1.9	6	1	6	2.58215962441315	0								4	Zhaosu, Xinjiang, China	CH	CH13	13292	43.1228	81.0758	-1938594	4	Zhaosu, Xinjiang, China	CH	CH13	13292	43.1228	81.0758	-1938594	20250919061500	http://www.bignewsnetwork.com/news/278587010/riding-with-dreams-xinjiang-horse-trainer-decade-of-pursuit
1263999677	20250919	202509	2025	2025.7096											CHN	CHINA	CHN								1	042	042	04	1	1.9	10	1	10	-0.70635721493441	0								4	Jiashi, Guizhou, China	CH	CH18	13003	28.3375	108.334	-3842382	4	Jiashi, Guizhou, China	CH	CH18	13003	28.3375	108.334	-3842382	20250919061500	https://www.bjreview.com/China/202508/t20250814_800411460.html
1263999678	20250919	202509	2025	2025.7096											CHN	CHINA	CHN								1	042	042	04	1	1.9	2	1	2	2.98850574712644	0								4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	4	Xiaomi, Fujian, China	CH	CH07	13163	25.2225	116.057	10999868	20250919061500	https://www.brecorder.com/news/40383563/apples-iphone-17-launch-draws-hundreds-in-long-queue-at-its-beijing-store
1263999679	20250919	202509	2025	2025.7096											CHN	URUMQI	CHN								1	043	043	04	1	2.8	8	1	8	2.58215962441315	0								4	Zhaosu, Xinjiang, China	CH	CH13	13292	43.1228	81.0758	-1938594	4	Zhaosu, Xinjiang, China	CH	CH13	13292	43.1228	81.0758	-1938594	20250919061500	http://www.bignewsnetwork.com/news/278587010/riding-with-dreams-xinjiang-horse-trainer-decade-of-pursuit
1263999680	20250919	202509	2025	2025.7096											CHN	CHINA	CHN								1	061	061	06	2	6.4	10	1	10	-0.23474178403755	0								4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	4	Haryana, Haryana, India	IN	IN10	17660	29.6161	76.9806	6210381	20250919061500	https://www.thehindubusinessline.com/companies/jindal-stainless-steel-expects-anti-dumping-duty-on-imports-in-4-5-months/article70066005.ece
1263999681	20250919	202509	2025	2025.7096											CHN	CHINA	CHN								0	130	130	13	3	-4.4	1	1	1	1.03950103950104	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	20250919061500	https://torontosun.com/news/world/trump-xi-set-to-discuss-tiktok-deal-future-of-u-s-china-relations
1263999682	20250919	202509	2025	2025.7096											CHN	CHINA	CHN								1	164	164	16	4	-7.0	10	1	10	-1.55440414507772	0								4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20250919061500	http://www.bignewsnetwork.com/news/278584106/tiktok-deal-talks-hinge-on-algorithm-as-us-china-extend-deadline
1263999683	20250919	202509	2025	2025.7096											CHRCTH	CATHOLIC				CHR	CTH				1	036	036	03	1	4.0	2	1	2	1.64609053497943	0								4	Churachandpur, Manipur, India	IN	IN17	70190	24.3333	93.6667	-2093610	4	Churachandpur, Manipur, India	IN	IN17	70190	24.3333	93.6667	-2093610	20250919061500	https://www.rvasia.org/asian-news/india-three-day-catholic-youth-meet-take-place-riot-hit-manipur
1263999684	20250919	202509	2025	2025.7096											COP	POLICE						COP			0	042	042	04	1	1.9	2	1	2	-10.1468624833111	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	3	York County, Pennsylvania, United States	US	USPA		40.1254	-77	1209193	20250919061500	https://scallywagandvagabond.com/2025/09/matthew-james-ruth-hanover-pa-stalker-hid-in-ex-girlfriends-home-before-ambushing-killing-3-cops/
1263999685	20250919	202509	2025	2025.7096											COP	POLICE						COP			0	042	042	04	1	1.9	2	1	2	-10.1468624833111	0								2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20250919061500	https://scallywagandvagabond.com/2025/09/matthew-james-ruth-hanover-pa-stalker-hid-in-ex-girlfriends-home-before-ambushing-killing-3-cops/
1263999686	20250919	202509	2025	2025.7096											COP	SECURITY FORCE						COP			1	0841	084	08	2	7.0	6	1	6	4.12087912087912	0								4	Amberley, Queensland, Australia	AS	AS04	154672	-27.6333	152.7	-1555711	4	Amberley, Queensland, Australia	AS	AS04	154672	-27.6333	152.7	-1555711	20250919061500	https://www.miragenews.com/hawkei-enhances-critical-capability-1536962/
1263999687	20250919	202509	2025	2025.7096											COP	POLICE						COP			0	190	190	19	4	-10.0	6	1	6	-6.98324022346369	0								3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	20250919061500	https://www.ky3.com/2025/09/19/assistant-principal-among-3-dead-after-shooting-front-school/
1263999688	20250919	202509	2025	2025.7096											COP	POLICE						COP			0	190	190	19	4	-10.0	2	1	2	-6.98324022346369	0								3	Lincoln Middle School, Illinois, United States	US	USIL		37.7223	-89.214	412120	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	20250919061500	https://www.ky3.com/2025/09/19/assistant-principal-among-3-dead-after-shooting-front-school/
1263999689	20250919	202509	2025	2025.7096											COP	POLICE						COP			0	190	190	19	4	-10.0	2	1	2	-6.98324022346369	0								3	Lincoln Middle School, Illinois, United States	US	USIL		37.7223	-89.214	412120	3	Lincoln Middle School, Illinois, United States	US	USIL		37.7223	-89.214	412120	20250919061500	https://www.ky3.com/2025/09/19/assistant-principal-among-3-dead-after-shooting-front-school/
1263999690	20250919	202509	2025	2025.7096											COP	POLICE						COP			0	193	193	19	4	-10.0	6	1	6	-6.98324022346369	0								3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	20250919061500	https://www.ky3.com/2025/09/19/assistant-principal-among-3-dead-after-shooting-front-school/
1263999691	20250919	202509	2025	2025.7096											COP	POLICE						COP			0	193	193	19	4	-10.0	4	1	4	-6.98324022346369	0								3	Lincoln Middle School, Illinois, United States	US	USIL		37.7223	-89.214	412120	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	20250919061500	https://www.ky3.com/2025/09/19/assistant-principal-among-3-dead-after-shooting-front-school/
1263999692	20250919	202509	2025	2025.7096											CVL	COMMUNITY						CVL			1	033	033	03	1	5.2	10	1	10	2.55681818181818	0								4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	4	Perth, Western Australia, Australia	AS	AS08	5533	-31.9333	115.833	-1594675	20250919061500	https://www.miragenews.com/metronet-byford-rail-extension-boosts-bus-1536961/
